59	MDT DateUtils Utils DAY hour lang oct Calendar truncate Utils buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare Enum ValuedEnum Valued Enum typesafe Object compare values classes Valued enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration Time getTimeInMillis Time Millis set String result currentTimeMillis current Time Millis Format	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test EntitiesTest Entities Test Unescape void unescape testNumberOverflow test Number Overflow doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml Entity	unescapeXml unescape Xml
295	StrBuilder Str Builder thisBuf Buf Str length Builder Buf LANG usages noticed places	StrBuilder usages thisBuf length size Str Builder Buf
299	appendFixedWidthPadRight append Fixed Width Pad Width str width method size pad StrBuilder Str Builder Char padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils Format Utils Exception throws string works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Null Locale Exception cAvailableLocaleSet Locale Set Pointer availableLocaleSet Locale Set LocaleUtils Locale Utils Bugs FindBugs Find Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch acts Time suspend time pause split counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country strings Utils case POSIX rejects	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds Time DateUtils Utils TimeZone Time Zone behaves test getTimeZone Time Zone Jul	Dates behaves incorrectly minutes seconds
363	Escape Java escapeJavaScript escape Java Script String StringEscapeUtils String Escape Utils escape Script Utils script Javascripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils String StringIndexOutOfBoundsException String Bounds Exception Exception test statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance FastDateFormat Fast Format getDateInstance Instance locale Locale Instance Time Format case methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce numerator infinite	infinite loop Fraction reduce numerator
