59	MDT hour DateUtils Utils Utils DST MST Equals hours buggy truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued ValuedEnum Valued Enum typesafe compareTo compare Enum values classes int lang org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar set Time result getTimeInMillis Time Millis String Dec Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test doTestUnescapeEntity Test Unescape Entity Unescape reference Entity entity EntitiesTest Entities Test xFFFF FFFF testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder LANG Buf shouldn places size	StrBuilder usages thisBuf length size Str Builder Buf
299	width str pad strLen str Len Pad Width size method appendFixedWidthPadRight append Fixed Width Pad obj	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception NumberUtils Number Utils Format createNumber create Number string substring isDigits Digits Exception fine	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set Null NullPointerException Null Pointer Exception LocaleUtils Locale Utils Exception Pointer Bugs availableLocaleSet Locale Set cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time StopWatch Watch counter getTime Time shouldn acts suspend bug pause	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar test Time TimeZone Time Zone seconds Mon CDT println DateUtils Utils	Dates behaves incorrectly minutes seconds
363	Escape escape String javaScriptEscape java Script Escape script Utils org Spring Java println	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case test String statement StringIndexOutOfBoundsException String Bounds Exception source Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance locale Locale case Instance Format methods Hash test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop Summary reduce pretty numerator infinite	infinite loop Fraction reduce numerator
393	Big compareTo compare compare BigDecimal Big Decimal comparing Decimal don Decimals Builder equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null Fixed appendFixedWidth append Fixed Width null Builder pointer getNullText Null Text width handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String length str abbreviate StringIndexOutOfBoundsException String Bounds Exception Word substring upper Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug locale Case String http insensitive Common html case	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String digit Exception Number Bounds front LANG createNumber create Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format ExtendedMessageFormat Extended Message Format formatRegistry format Registry formattedPattern formatted Pattern code Extended String QUOTE appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode utf String escape problem org escapeHtml escape Html byte StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number return decimal isNumber Number code Point Digit Exp exponent	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Format test GMT noformat format GregorianCalendar Gregorian Calendar problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String StringUtils String Utils replaceEach replace case replace Test Utils replacementList replacement List org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org String LANG leak application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String NumberUtils Number Utils Exception StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Utils indicators passed NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
