90428	jabberserver button hotmail Jabber Finish Join user usernames disables group	Bug Jabber Provider Character allowed Jabber login names
125572	Sync app IConnect TimeSyncInitiator Time Sync Initiator Thread Client SOContainer ClientSOContainer Client SOContainer provider Time	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application Client Container ContainerFactory Container Factory ClientApplication Client Application app provider Initializer standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service remoteservice remote local getRemoteServiceReferences Remote Service References registered Remote refsOne locally bug	Bug Local access local remoteservicereference implemented
172958	commands acceptable mode continue patch Channel command IRC write setup	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn Communications preference Apply Bug Restore empty	Bug Communications preference isn empty
196007	highlights supports Presence hover parse pictures Hover cool display support	Bug Presence Hover highlights support pictures
198043	contacts groups entries open users list recognize doesn dialog recognizer	Bug open contacts dialog doesn recognize users groups
198334	view settings CTab CTabFolders CTab Folders Folders appearance Manager Chat ChatRoomManagerView Chat Room Manager View patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl works text click problem IRC hyperlink fine Wrong	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info class constructors Info parameters takes smaller discovery cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection net appears irc Connection freenode Click Ctrl eclipse	Bug IRC Wrong connection click hyperlink
204329	remote IRemoteServiceContainerAdapter IRemote Service Container Adapter Service remoteContainerTwo remote Container connect client Adapter IRemote IRemoteServiceReference IRemote Service Reference clientTwo client	Bug remoteservice registry updated adapter accessed connect
205532	subject channel chat URL topic accessed output IRC add hyperlinked	Bug IRC add hyperlinking chat subject box
208667	presence client msn UNAVAILABLE Update send org sendPresenceUpdate send Presence Update null instance	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null message XMPP Message Server XMPPContainer handleMessageEvent handle Message Event server XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	user port XMPP gmail provider Google default Talk talk ignores	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered connection button Finish mail Select wizard Steps	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery IDIService Test Service IService provider Type Listener testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug bit Eclipse chosen connect report increases seconds	Bug MSN CPU usage increases connecting
242950	Container timeouts targetID target IRCChannel IRCChannelContainer IRCChannel Container IRC Timeout disconnect Exception irc	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI dev identity mailing moving msg api	Bug api add IResourceID IResource
254833	Bundle jslp eclipse slp provider BundleContext Bundle Context org eagerly SLP Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service IServiceInfo IService Info JMDNSDiscovery Service hostname jSLP SLP container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service IService getServiceName Service IServiceID IService Service discovery eclipse identity Discovery SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery jmdns Info IServiceInfo IService Info Container container provider	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info Security JSLPService jslp eclipse SecurityException Security Exception Info provider java IService	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error NPEs update opens SDK number tools fails status log	NPE status code
259233	path lost URI discovery Discovery JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	net tracker Discovery detail atid group aid case sourceforge SLP	Bug Discovery SLP lookup scope case insensitive
265551	Pause URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve changed paused Resume transfer PAUSE tests resource	Bug pause reads entire resource HttpClient provider Http Client
266120	naming service getServiceTypeIDs Service Type IDs Type Service default set servicetypes authority returned	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Generic GenericServerContainer Generic Server Container IRemoteServiceContainerAdapter IRemote Service Container Adapter Container generic support server class Server adapter	Bug server supporrt remoteservice container adapter generic server
270332	problems fixed patch attached channels reference called attachment docshare subject	Bug called DocShares ECF Generic group handling Doc Shares
273135	String implementation println StringBuffer String Buffer invokes Log logging LogService Log Service parameter details	Bug LogService implementation misses details logging Log Service
282667	Code IOException fails bug CodeAnalyzer Code Analyzer osgi Extension interface ethz comment	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv messages SLP jSLP SLP version change discard formats Discovery marked	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser bad attribute Discovery jSLP SLP accept Test HTAB Bug	Bug Discovery jSLP Test parser bad tags SLP
302407	exception java Service NoSuchMethodException Method Exception Method happen lang Impl Exception osgi	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
