90428	jabberserver button hotmail disables Join Jabber Character username Finish group	Bug Jabber Provider Character allowed Jabber login names
125572	Sync app TimeSyncInitiator Time Sync Initiator Time ClientSOContainer Client SOContainer SOContainer provider Thread IConnect ECF	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application Client Container ContainerFactory Container Factory ClientApplication Client Application provider app Initializer NullPointerExcepton Null Pointer Excepton	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bugs remoteservice refsOne bug assertion local registered implemented exceptions	Bug Local access local remoteservicereference implemented
172958	commands command IRC Channel Root Container setup Patch Containers acceptable	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings Bug isn empty Communications buttons preference Apply Restore	Bug Communications preference isn empty
196007	highlights Presence pictures supports support hover parse display Hover cool	Bug Presence Hover highlights support pictures
198043	groups entries users contacts open list recognize doesn dialog Bug	Bug open contacts dialog doesn recognize users groups
198334	settings CTabFolders CTab Folders appearance ChatRoomManagerView Chat Room Manager View Room Chat view messages CTab Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl text Wrong fine IRC works click hyperlink problem	Bug Wrong underline hyperlink recognition
199259	Service discovery ServiceInfo Service Info constructors class Info smaller cumbersome takes Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection net IRC click editor Connection irc Click eclipse Ctrl	Bug IRC Wrong connection click hyperlink
204329	remote Service connect distributed IRemote IRemoteServiceContainerAdapter IRemote Service Container Adapter clientTwo client remoteContainerTwo remote Container client accessed	Bug remoteservice registry updated adapter accessed connect
205532	chat URL subject account channel accessed IRC topic add output	Bug IRC add hyperlinking chat subject box
208667	presence client msn Update Null instance sendPresenceUpdate send Presence Update provider UNAVAILABLE org	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null server Message Server handleMessageEvent handle Message Event XMPP form message XMPPContainer	Bug message XMPP Server displayed
222824	port user Talk XMPP work Google Host gmail provider talk	Bug XMPP doesn work port Google Talk Host
222868	button password connection mail MSN clicked entered Finish wizard Steps	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Service IDIService Test provider Listener tests testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Type	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit seconds sun wait bug report java increases	Bug MSN CPU usage increases connecting
242950	targetID target timeouts irc IRC eclipse disconnect Container target null Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource core URI IResource execution dev msg environment mhonarc identity	Bug api add IResourceID IResource
254833	service Bundle provider jslp Discovery activate accesses SLP consumer Activator	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService ecf JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service Service IServiceInfo IService Info jSLP SLP identity discovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	discovery service IServiceID IService IService Service getServiceName Service Discovery optional identity eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service Discovery JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info provider JMDNS createServiceInfoFromIServiceInfo create Service Info IService Info JMDNSDiscovery Info Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	Discovery Security JSLPServiceInfo JSLPService Info JSLPService provider Info java jslp eclipse throw	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update SDK tools Modelling NPEs Install status Eclipse opens	NPE status code
259233	path Discovery lost discovery Bug segment URI JMDNS	Bug Discovery JMDNS URI path lost discovery
259389	Discovery lookup net scope case sourceforge group http SLP Bug	Bug Discovery SLP lookup scope case insensitive
265551	Http Resume tests changed URLRetrievePauseResumeTest URLRetrieve Pause Resume Test fail provider PAUSE Pause noticed	Bug pause reads entire resource HttpClient provider Http Client
266120	naming Discovery DNS service Type servicetypes default getServiceTypeIDs Service Type IDs set Service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	class server IRemoteServiceContainerAdapter IRemote Service Container Adapter Generic generic plugin support GenericServerContainer Generic Server Container adapter Server	Bug server supporrt remoteservice container adapter generic server
270332	fixed subject Doc patch DocShares Doc Shares attached problems called attachment channels	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String logging Log LogService Log Service StringBuffer String Buffer Service details constructed invokes	Bug LogService implementation misses details logging Log Service
282667	Extension Code ExtensionPoint Extension Point CodeAnalyzer Code Analyzer Galanciak bug exception file interface addExtensionPoints add Extension Points	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages SLPv version Discovery change SLP jSLP SLP discard protocol future	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags jSLP SLP Discovery Bug parser bad SLP Test accept attribute	Bug Discovery jSLP Test parser bad tags SLP
302407	Service Impl java exception method happen callSync call Sync fails remotesrvs Method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery DiscoveryTestsWithoutRegister Discovery Tests Register Tests null Execute checks API DNS Bug	Bug Discovery DNS Add API checks null test suite
316595	service Discovery retrieving request lazily unit retrieval eagerly tests instances	Bug Discovery Defer service retrieval unit tests
318075	Bug Discovery IServiceProperty IService Property Whitespaces allowed IService property Property	Bug Discovery Whitespaces allowed property
