90428	Jabber user button hotmail Provider jabberserver Join usernames Bug group	Bug Jabber Provider Character allowed Jabber login names
125572	app provider ECF based IConnectContext IConnect Context threads Sync SOContainer interlocked IConnect	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Client ContainerFactory Container Factory Application Container Standalone app Bug Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local registered access Service remoteservice Local remote locally Remote Bug	Bug Local access local remoteservicereference implemented
172958	commands IRC patch Bug mode Patch acceptable Channel Root continue	Bug IRC Patch commands Root Channel Containers
192574	Defaults Communications preference settings isn buttons Bug Restore empty	Bug Communications preference isn empty
196007	highlights Presence Hover hover Bug support pictures display supports cool	Bug Presence Hover highlights support pictures
198043	contacts entries groups open Bug list dialog doesn recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view settings appearance Folders messages Messages follow Bug CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl Wrong works underline click text hyperlink irc underlined problem	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service class constructors parameters Info discovery Bug takes cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc problems Connection Wrong chatroom Bug net Click	Bug IRC Wrong connection click hyperlink
204329	remote connect Service registry remoteservice remoteContainerTwo remote Container IRemoteServiceReference IRemote Service Reference IRemoteServiceContainerAdapter IRemote Service Container Adapter Bug client	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC topic channel URL add hyperlinked Bug accessed	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence provider UNAVAILABLE client Update instance call	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP message Server XMPPContainer packet displayed XMPPContainerPresenceHelper XMPPContainer Presence Helper null handleMessageEvent handle Message Event Message	Bug message XMPP Server displayed
222824	user XMPP port gmail provider Google Bug doesn default work	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered mail Bug Select connection wizard Finish button	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test provider eclipse SLP tests DiscoveryTest Discovery Test IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU connect bug Bug process Eclipse usage bit hour	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container timeouts Timeout Container disconnect IRCChannel IRC throws Exception NPE	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core api Bug identity add URI interface package	Bug api add IResourceID IResource
254833	eclipse org jslp Bundle provider Context Discovery SLP Bug ecf	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService getServiceName Service Discovery Service JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container hostname JMDNSDiscovery Bug	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService getServiceName Service service IService Discovery Service SLP discovery Bug identity	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns exchanges priority JMDNSDiscovery Discovery IService Service IServiceInfo IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Discovery IService Bug jslp Security SLP Info	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status update fails NPE opens NPEs number code tools	NPE status code
259233	path URI discovery Discovery lost JMDNS Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery net atid SLP tracker Bug detail lookup aid scope	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test pause Pause entire URLRetrieve PAUSE Bug read noticed reads	Bug pause reads entire resource HttpClient provider Http Client
266120	naming Discovery Service authority default servicetypes JmDNS DNS getServiceTypeIDs Service Type IDs Bug service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	generic server support adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter Generic GenericServerContainer Generic Server Container Container class Service	Bug server supporrt remoteservice container adapter generic server
270332	called reference fixed DocShares Doc Shares problems Bug patch ECF strange Generic	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String println LogService Log Service invokes Bug StringBuffer String Buffer misses details Buffer	Bug LogService implementation misses details logging Log Service
