90428	Jabber Character Provider allowed Bug jabberserver hotmail org login ECF	Bug Jabber Provider Character allowed Jabber login names
125572	SyncSOClientContainer Sync SOClient Container ECF Connected Client app Sync TimeSyncTask Time Sync Task provider ClientSOContainer Client SOContainer send	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin Application Container ContainerFactory Container Factory Initializer Standalone Bug Null Client	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local Local access remoteContainerOne remote Container IRemote bugs assertTrue assert True Bug assert registered	Bug Local access local remoteservicereference implemented
172958	Containers commands IRC command Bug Patch Container Channel containers Root	Bug IRC Patch commands Root Channel Containers
192574	settings Communications preference isn Defaults Bug empty	Bug Communications preference isn empty
196007	highlights Hover Bug Presence hover cool supports support display pictures	Bug Presence Hover highlights support pictures
198043	dialog Bug doesn groups contacts open entries list recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages CTab Bug doesn follow appearance Folders settings	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong Chatroom underline hyperlink IRC Bug recognition	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service discovery constructors Bug parameters class cumbersome takes smaller	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC hyperlink Wrong irc Bug click Connection	Bug IRC Wrong connection click hyperlink
204329	remote remoteservice IRemoteServiceReference IRemote Service Reference registry server client Bug Remote adapter accessed	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC chat add Bug topic hyperlinking URL	Bug IRC add hyperlinking chat subject box
208667	msn type MSNContainer getStatus Status presence Presence sendPresenceUpdate send Presence Update Bug provider UNAVAILABLE	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPP type message XMPPContainer Server XMPPContainerPresenceHelper XMPPContainer Presence Helper Bug Type displayed	Bug message XMPP Server displayed
222824	gmail Google doesn port work XMPP Bug user Talk Host	Bug XMPP doesn work port Google Talk Host
222868	MSN mail entered Bug password Steps clicked button Open Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery Test DiscoveryTest Discovery Test discovery SLP IService Listener tests listener eclipse	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU usage MSN Bug increases Steps disconnect wait Eclipse bit	Bug MSN CPU usage increases connecting
242950	disconnect IRCChannelContainer IRCChannel Container timeouts connection targetID target throws fireContainerEvent fire Container Event Bug root fire	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource api IResource Bug html add http core URI extends	Bug api add IResourceID IResource
254833	jslp SLP Activator Bundle Discovery Bug eclipse Advertiser org ecf	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService getServiceName Service IService registerService register Service Discovery JMDNS Bug IServiceInfo IService Info hostname container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery getServiceName Service IServiceID IService SLP service Bug discovery Service optional IService	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS IServiceInfo IService Info IService Discovery JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container exchanges jmdns priority container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Discovery jslp Bug SLP Info java doesn	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	NPE code Created status log Eclipse update Update error attachment	NPE status code
259233	Discovery discovery path URI JMDNS Bug lost segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery lookup SLP Bug atid scope insensitive func sourceforge tracker	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test pause Http entire Bug HttpClient Http Client reads resource URLRetrieve provider	Bug pause reads entire resource HttpClient provider Http Client
266120	IServiceTypeID IService Type servicetypes Discovery JmDNS DNS Bug naming IService default getServiceTypeIDs Service Type IDs authority	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter generic Server Generic Bug Adapter supporrt support remoteservice	Bug server supporrt remoteservice container adapter generic server
270332	called DocShares Doc Shares Generic Bug ECF subject Created patch reference group	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log LogService Log Service String implementation Bug logging misses StringBuffer String Buffer details invokes	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer osgi ExtensionPoint Extension Point remotesrvs extensionPoints extension Points Bug reply iks Points class	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
