90428	button jabberserver Jabber username action usernames hotmail user	Bug Jabber Provider Character allowed Jabber login names
125572	TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container initSyncService init Sync Service IConnect Initiator killConnection kill Connection IConnectContext IConnect Context init Service	Bug ECF Generic provider thread interlock
134483	ContainerFactory Container Factory Initializer ECFPlugin ClientApplication Client Application Client Container Application ecf ECF Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice remote Remote local remoteContainerOne remote Container IRemote IRemoteServiceReference IRemote Service Reference bugs Service bug	Bug Local access local remoteservicereference implemented
172958	commands Containers command Container patch Bug containers acceptable Patch	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons	Bug Communications preference isn empty
196007	hover highlights Bug Hover cool display Presence pictures supports parse	Bug Presence Hover highlights support pictures
198043	groups entries list contacts users open	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Chat Folders CTab Room	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine works problem Chatroom IRC underlined click	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC net Connection connection hyperlink click freenode	Bug IRC Wrong connection click hyperlink
204329	IRemoteServiceReference IRemote Service Reference remoteContainerTwo remote Container IRemote Adapter client getAdapter Adapter remote Remote server clientTwo client	Bug remoteservice registry updated adapter accessed connect
205532	hyperlinked subject topic chat URL accessed IRC	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn MSNContainer Message setPersonalMessage set Personal Message send Presence presence Null type	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packet server type Type field form packetExtensions packet Extensions packetID packet	Bug message XMPP Server displayed
222824	user port XMPP provider host Host talk gmail	Bug XMPP doesn work port Google Talk Host
222868	entered password clicked button	Bug MSN mail password entered Finish button clicked
233808	DiscoveryTest Discovery Test IService IDIService test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service Test tests Listener listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	sun bug java MSN CPU connect disconnect hour normal	Bug MSN CPU usage increases connecting
242950	timeouts IRCChannel IRCChannelContainer IRCChannel Container fireContainerEvent fire Container Event Timeout TimeoutException Timeout Exception connect server disconnect targetID target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI IResource interface dev html execution toURI URI eclipse identity	Bug api add IResourceID IResource
254833	jslp BundleContext Bundle Context Bundle Advertiser slp jSLP SLP consumer eclipse service SLP	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
