90428	action button Jabber user ECF login Provider hotmail group Character	Bug Jabber Provider Character allowed Jabber login names
125572	Initiator SyncSOClientContainer Sync SOClient Container SOContainer TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer Connected server provider killConnection kill Connection SOClient	Bug ECF Generic provider thread interlock
134483	Client ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Application Factory Null Initializer NullPointerExcepton Null Pointer Excepton Container	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug IRemote assertTrue assert True Service remoteservice assertion local https refsOne	Bug Local access local remoteservicereference implemented
172958	Containers Bug command Patch Container work IRC containers setup Channel	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Bug Communications	Bug Communications preference isn empty
196007	Hover Presence pictures display hover Bug highlights support parse cool	Bug Presence Hover highlights support pictures
198043	groups entries list dialog contacts Bug users doesn recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Chat Room Folders settings Manager CTab Messages Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom IRC Ctrl fine irc Bug move foobar channel problem	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class Info discovery parameters bug Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc connection IRC net channel hyperlink chatroom editor freenode problems	Bug IRC Wrong connection click hyperlink
204329	client remoteContainerTwo remote Container Adapter replica container IRemote getAdapter Adapter clientTwo client adapter IRemoteServiceReference IRemote Service Reference	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL topic hyperlinked channel account box IRC hyperlinking	Bug IRC add hyperlinking chat subject box
208667	presence Presence msn sendPresenceUpdate send Presence Update client getStatus Status MSNContainer Null Message type	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPPContainer form field Message null packetExtensions packet Extensions message	Bug message XMPP Server displayed
