90428	hotmail user Character button Jabber org jabberserver action ECF group	Bug Jabber Provider Character allowed Jabber login names
125572	Sync SOContainer provider IConnectContext IConnect Context app TimeSyncInitiator Time Sync Initiator Time server TimeSyncTask Time Sync Task SOClient	Bug ECF Generic provider thread interlock
134483	Application ECFPlugin Factory Client NullPointerExcepton Null Pointer Excepton Container provider ClientApplication Client Application ContainerFactory Container Factory contructor	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs Service bug assertion refsOne exceptions assertTrue assert True remoteservice https fails	Bug Local access local remoteservicereference implemented
172958	IRC command Containers Patch Root commands Container setup Bug work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings Bug buttons empty isn preference Restore Communications	Bug Communications preference isn empty
196007	Presence pictures support display highlights Hover hover parse XMPP Bug	Bug Presence Hover highlights support pictures
198043	groups entries list contacts dialog users Bug doesn recognizer	Bug open contacts dialog doesn recognize users groups
198334	settings CTabFolders CTab Folders Folders ChatRoomManagerView Chat Room Manager View Room appearance Chat Messages Manager CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc Chatroom Bug text IRC works fine channel move	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info discovery Info class constructors parameters Bug bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection channel chatroom IRC irc editor problems Connection net eclipse	Bug IRC Wrong connection click hyperlink
204329	client Service remoteContainerTwo remote Container container IRemote replica clientTwo client Adapter remote adapter	Bug remoteservice registry updated adapter accessed connect
205532	chat URL account subject channel topic box hyperlinking accessed permissions	Bug IRC add hyperlinking chat subject box
208667	client presence Update msn instance sendPresenceUpdate send Presence Update Personal Status Presence Bug	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null Message server packetExtensions packet Extensions XMPPContainerPresenceHelper XMPPContainer Presence Helper Server message handleMessageEvent handle Message Event form	Bug message XMPP Server displayed
222824	user port work default Host Talk provider Google XMPP Bug	Bug XMPP doesn work port Google Talk Host
222868	password mail connection button clicked MSN Bug wizard entered Select	Bug MSN mail password entered Finish button clicked
