90428	button Jabber disables jabberserver username Finish action hotmail character Join	Bug Jabber Provider Character allowed Jabber login names
125572	ClientSOContainer Client SOContainer Initiator IConnect Sync TimeSyncTask Time Sync Task ECF Time SOContainer SyncSOClientContainer Sync SOClient Container provider	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Client Application Initializer Null Container ecf app	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice local remote registered bugs implemented bug IRemote Service Remote	Bug Local access local remoteservicereference implemented
172958	command Containers Container commands Channel acceptable Patch IRC continue setup	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn Communications buttons preference Apply Bug empty affect	Bug Communications preference isn empty
196007	highlights Presence Hover supports cool hover Bug parse pictures display	Bug Presence Hover highlights support pictures
198043	groups entries contacts users open list recognize doesn dialog Bug	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Chat Room CTab view Manager patch messages based	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine IRC irc hyperlink Chatroom Wrong problem works underline Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors smaller discovery class cumbersome takes parameters Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	net IRC connection click irc appears freenode editor hyperlink Connection	Bug IRC Wrong connection click hyperlink
204329	IRemote remoteContainerTwo remote Container client Adapter getAdapter Adapter IRemoteServiceReference IRemote Service Reference clientTwo client IRemoteServiceContainerAdapter IRemote Service Container Adapter remote distributed	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL hyperlinked channel accessed topic add output	Bug IRC add hyperlinking chat subject box
208667	presence msn Null Presence Message sendPresenceUpdate send Presence Update client setPersonalMessage set Personal Message provider send	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	server packet XMPPContainer form null Message type Server message XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	user port Host Google provider XMPP gmail Talk talk doesn	Bug XMPP doesn work port Google Talk Host
222868	entered button MSN clicked connection password Finish mail Steps Reproduce	Bug MSN mail password entered Finish button clicked
233808	IDIService Listener IService Test DiscoveryTest Discovery Test Discovery discovery provider Service tests	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	sun CPU MSN bit java report increases seconds component bug	Bug MSN CPU usage increases connecting
242950	disconnect targetID target timeouts server IRCChannel IRCChannelContainer IRCChannel Container fireContainerEvent fire Container Event Container IRC connection	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI dev execution eclipse IResource core mailing html moving	Bug api add IResourceID IResource
254833	Bundle BundleContext Bundle Context SLP consumer service jslp Advertiser jSLP SLP eagerly slp	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService registerService register Service ecf JMDNSDiscovery container jSLP SLP Container Service getServiceName Service	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service Discovery service discovery Service IServiceID IService IService eclipse SLP fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service JMDNS JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Container jmdns IService container Info createServiceInfoFromIServiceInfo create Service Info IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info jslp JSLPService eclipse Info SecurityException Security Exception java throw provider IService	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK status NPEs log dialogs Framework Created attachment Install	NPE status code
259233	Discovery discovery lost path JMDNS URI segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	http Discovery case sourceforge group php SLP scope lookup net	Bug Discovery SLP lookup scope case insensitive
265551	Http URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve provider changed tests resource entire Resume pause	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs service servicetypes Type IServiceTypeID IService Type Service default naming set Discovery	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server Generic IRemoteServiceContainerAdapter IRemote Service Container Adapter generic support adapter Server GenericServerContainer Generic Server Container Abstract IRemote	Bug server supporrt remoteservice container adapter generic server
270332	DocShares Doc Shares Doc called attachment patch problems channels attached fixed subject	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service Log logging String StringBuffer String Buffer implementation details misses invokes constructed	Bug LogService implementation misses details logging Log Service
282667	ExtensionPoint Extension Point CodeAnalyzer Code Analyzer Extension bug Point addExtensionPoints add Extension Points Code class issues comment	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages SLP SLPv protocol version jSLP SLP discard Discovery change formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	SLP jSLP SLP parser tags bad Discovery Test accept Bug HTAB	Bug Discovery jSLP Test parser bad tags SLP
302407	Service remotesrvs type callSync call Sync ServiceURL Service URL mismatch Advertiser exception osgi method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests Discovery DiscoveryTestsWithoutRegister Discovery Tests Register API checks Add null DNS suite	Bug Discovery DNS Add API checks null test suite
316595	lazily service request Discovery unit retrieving eagerly retrieval Defer instances	Bug Discovery Defer service retrieval unit tests
318075	IServiceProperty IService Property IService Whitespaces allowed Discovery Bug property Property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service rosgi foo SmartProxyService Smart Proxy Service Proxy method Service rosgiFoo rosgi Foo RemoteSrvs Remote Srvs IFoo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	mailing dev problem bug solution interest discovery zookeeper port eclipse	Bug discovery zookeeper location URI include port
327379	Remote factory RemoteCallFactory Remote Call Factory rest RemoteCalls Remote Calls IRemoteCallFactory IRemote Call Factory Rest IRemote Factory Call	Bug IRemoteCallFactory IRemote Call Factory
327582	incorrect Remote String osgi implementation unnecessary simplified getRemoteServiceReferences Remote Service References parameter idFilter Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	null Status Serializable STATUS Exception SerializableStatus Serializable Status status exception set org	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance Discovery create createInstance create Instance CompositeDiscoveryContainer Composite Discovery Container discovery CDC	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ServiceResource Service Resource discovery ecf resource Address Service ServiceDiscoveryListener Service Discovery Listener getInetAddress Inet Address broken	Bug Discovery resilient broken hostnames
329054	Container connect provider IConnect discovery Composite Discovery containers Connect nested	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Composite Discovery Containers Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo BundleActivator Bundle Activator startup Discovery Bundle ZooDiscovery Zoo Discovery Zookeeper ZooDiscoveryContainer Zoo Discovery Container start asynchronously	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi ecf service osgi endpoint ERROR DEVSOSGi container remoteserviceadmin	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Context ecf ServiceATracker Service ATracker props propsA props osgi Endpoint	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service IRemote service restCall rest Call containerFactory container Factory remoteService remote Service Call dbUrl Url create call	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property properties RSA private TCK Property service foo intent exported	Bug TCK RSA exports private properties
342782	set RSA bundle TCK event incorrectly symbolicname Bug properties events	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin eclipse Null throwable printStackTrace print Stack Trace NullPointerException Null Pointer Exception method tracing org	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
