90428	jabberserver Jabber hotmail Character org allowed username ECF usernames Join	Bug Jabber Provider Character allowed Jabber login names
125572	TimeSyncTask Time Sync Task IConnect ClientSOContainer Client SOContainer Client IConnectContext IConnect Context Connected SOClient TimeSyncInitiator Time Sync Initiator SOContainer sendTimeSyncMessage send Time Sync Message	Bug ECF Generic provider thread interlock
134483	ECFPlugin Container ContainerFactory Container Factory Client ClientApplication Client Application app ecf Application ECF	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remote Remote local remoteContainerOne remote Container bugs bug locally assertTrue assert True assert remoteservice	Bug Local access local remoteservicereference implemented
172958	commands Containers command patch Container containers acceptable	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons Bug isn Apply affect preference Communications Restore	Bug Communications preference isn empty
196007	hover highlights Bug Hover cool display Presence pictures supports parse	Bug Presence Hover highlights support pictures
198043	groups doesn dialog contacts entries Bug open recognizer recognize list	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom underlined click problem IRC Open Ctrl	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service bug smaller Bug Info discovery takes parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc connection Connection IRC	Bug IRC Wrong connection click hyperlink
204329	getRemoteServiceReferences Remote Service References remote Remote server IRemoteServiceReference IRemote Service Reference client remoteContainerTwo remote Container Reference References clientTwo client	Bug remoteservice registry updated adapter accessed connect
205532	subject topic chat hyperlinked IRC	Bug IRC add hyperlinking chat subject box
208667	Presence type sendPresenceUpdate send Presence Update presence MSNContainer msn Update Message setPersonalMessage set Personal Message null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer packet XMPPContainerPresenceHelper XMPPContainer Presence Helper type Type packetExtensions packet Extensions packetID packet	Bug message XMPP Server displayed
222824	port gmail XMPP doesn Google talk work Host Talk host	Bug XMPP doesn work port Google Talk Host
222868	MSN entered Steps password mail connection Open clicked wizard button	Bug MSN mail password entered Finish button clicked
233808	IService Discovery test DiscoveryTest Discovery Test discovery Listener IDIService listener Service Test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU disconnect MSN bug connect Steps wait Eclipse hour usage	Bug MSN CPU usage increases connecting
242950	Timeout IRCChannelContainer IRCChannel Container IRCChannel connect root timeouts connecting TimeoutException Timeout Exception rootContainer root Container	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource	Bug api add IResourceID IResource
254833	jslp SLP slp jSLP SLP	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService JMDNSDiscovery IServiceID IService JMDNSDiscoveryContainer JMDNSDiscovery Container getServiceName Service jmdns container IServiceInfo IService Info Container SLP	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IService getServiceName Service Service Discovery service discovery IServiceID IService	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
