90428	jabberserver Jabber username usernames hotmail disables Finish button character Join	Bug Jabber Provider Character allowed Jabber login names
125572	IConnect TimeSyncInitiator Time Sync Initiator ClientSOContainer Client SOContainer Client ECF Sync IConnectContext IConnect Context Time app SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory Container ClientApplication Client Application Client ecf version Application throws standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remote local bug bugs Remote remoteservice remoteContainerOne remote Container Service locally getRemoteServiceReferences Remote Service References	Bug Local access local remoteservicereference implemented
172958	commands acceptable Channel patch command IRC continue setup write Patch	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn Communications buttons preference Apply Bug empty affect	Bug Communications preference isn empty
196007	highlights hover pictures supports Presence parse Hover cool support XMPP	Bug Presence Hover highlights support pictures
198043	groups contacts open users recognize doesn entries dialog list Bug	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view Manager patch CTab messages based Room Folders settings	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	underlined problem click irc IRC hyperlink Wrong underline Steps Reproduce	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors smaller discovery class bug cumbersome takes parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC irc connection Connection appears editor net freenode eclipse click	Bug IRC Wrong connection click hyperlink
204329	remote getRemoteServiceReferences Remote Service References IRemoteServiceReference IRemote Service Reference remoteContainerTwo remote Container connect null IRemoteServiceContainerAdapter IRemote Service Container Adapter Service Adapter Container	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat channel topic IRC add output hyperlinking accessed	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn presence Message MSNContainer Update UNAVAILABLE null send Presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer packet null Message server Server message XMPPContainerPresenceHelper XMPPContainer Presence Helper form XMPP	Bug message XMPP Server displayed
222824	XMPP port talk gmail Google user Talk doesn host provider	Bug XMPP doesn work port Google Talk Host
222868	MSN password connection entered Steps button Finish mail wizard Open	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery IService IDIService Test Service SLP Listener DiscoveryTest Discovery Test provider	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug bit report increases seconds component normal chosen	Bug MSN CPU usage increases connecting
