90428	user hotmail jabberserver Jabber ECF action org login Provider group	Bug Jabber Provider Character allowed Jabber login names
125572	Sync IConnectContext IConnect Context threads SOContainer Thread TimeSyncInitiator Time Sync Initiator Initiator TimeSyncTask Time Sync Task SyncSOClientContainer Sync SOClient Container provider	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ContainerFactory Container Factory Container Factory Client ClientApplication Client Application Initializer ecf contructor	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service remoteservice bug getRemoteServiceReferences Remote Service References assertion https bugs refsOne access Remote	Bug Local access local remoteservicereference implemented
172958	commands Bug Patch work patch IRC Containers setup Channel mode	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Bug Communications	Bug Communications preference isn empty
196007	hover pictures Presence display support highlights Hover parse XMPP Bug	Bug Presence Hover highlights support pictures
198043	contacts entries groups list dialog Bug doesn users recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings ChatRoomManagerView Chat Room Manager View appearance Chat Room CTab Messages Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc underlined Bug text Chatroom click IRC move foobar	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service class constructors Info discovery parameters bug Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc IRC channel problems Connection chatroom editor eclipse freenode	Bug IRC Wrong connection click hyperlink
204329	remoteContainerTwo remote Container Service client Adapter IRemote getAdapter Adapter adapter remote clientTwo client IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	URL chat subject topic account channel box hyperlinking hyperlinked accessed	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update client Update msn UNAVAILABLE null MSNContainer presence provider Personal	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainerPresenceHelper XMPPContainer Presence Helper packet message XMPPContainer null Message Server server XMPP Presence	Bug message XMPP Server displayed
222824	port XMPP user Google default Bug provider talk catch work	Bug XMPP doesn work port Google Talk Host
222868	password connection mail MSN entered Bug wizard button Select	Bug MSN mail password entered Finish button clicked
233808	testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service Discovery Test provider IDIService IService test discovery Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN bug CPU bit usage connect Eclipse guess report seconds	Bug MSN CPU usage increases connecting
242950	IRCChannel IRCChannelContainer IRCChannel Container IRC Timeout Exception Container targetID target timeouts target NPE	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI core identity mailing CDC interface class dev	Bug api add IResourceID IResource
254833	jslp Bundle eclipse BundleContext Bundle Context consumer system service slp org Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService getServiceName Service Service JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service IServiceInfo IService Info JMDNSDiscovery thorws identity	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
