90428	user Jabber hotmail action group button usernames ECF jabberserver Join	Bug Jabber Provider Character allowed Jabber login names
125572	SOContainer Sync IConnectContext IConnect Context provider app SyncSOClientContainer Sync SOClient Container threads Thread Client Initiator	Bug ECF Generic provider thread interlock
134483	Application ECFPlugin Client Factory Container ContainerFactory Container Factory ClientApplication Client Application contructor provider Error	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service getRemoteServiceReferences Remote Service References refsOne bug assertion https remoteservice Remote bugs access	Bug Local access local remoteservicereference implemented
172958	commands Bug patch Patch mode work IRC Containers setup Channel	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Bug Restore Communications	Bug Communications preference isn empty
196007	highlights pictures Presence display support hover Hover parse XMPP Bug	Bug Presence Hover highlights support pictures
198043	groups contacts entries list dialog Bug doesn recognizer users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings Messages ChatRoomManagerView Chat Room Manager View appearance Chat Room CTab Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc text works Bug click Chatroom IRC problem move	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Info Service class constructors parameters discovery takes bug Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection problems chatroom IRC irc channel freenode Connection editor eclipse	Bug IRC Wrong connection click hyperlink
204329	remoteContainerTwo remote Container client Service Adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter IRemote remote adapter Remote getRemoteServiceReferences Remote Service References	Bug remoteservice registry updated adapter accessed connect
205532	chat channel subject URL topic account box hyperlinked hyperlinking window	Bug IRC add hyperlinking chat subject box
208667	client presence msn Update sendPresenceUpdate send Presence Update UNAVAILABLE instance Presence MSNContainer null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet message null Message XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPPContainer Server Presence XMPP server	Bug message XMPP Server displayed
222824	user port default provider XMPP gmail Google Bug catch talk	Bug XMPP doesn work port Google Talk Host
222868	password MSN connection mail entered Select wizard Bug button Open	Bug MSN mail password entered Finish button clicked
233808	Discovery Test IService discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service provider IDIService Listener test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug Eclipse bit connect usage process guess hour	Bug MSN CPU usage increases connecting
242950	Container targetID target IRCChannel Exception target IRCChannelContainer IRCChannel Container IRC Timeout NPE irc	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResource IResourceID IResource core URI identity mailing CDC class dev interface	Bug api add IResourceID IResource
254833	Bundle jslp eclipse org Context Advertiser provider BundleContext Bundle Context consumer system	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService Service IService getServiceName Service JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service JMDNSDiscovery IServiceInfo IService Info org SLP	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service service IServiceID IService getServiceName Service discovery IService identity isn fall eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container IService Service priority JMDNSDiscovery provider Info Container exchanges	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info IService Security jslp eclipse SecurityException Security Exception lang doesn	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error Framework Eclipse Release update code number NPEs fails EMF	NPE status code
259233	discovery URI path Discovery segment JMDNS lost Bug	Bug Discovery JMDNS URI path lost discovery
259389	aid tracker func detail Bug net atid SLP scope case	Bug Discovery SLP lookup scope case insensitive
265551	Pause Test URLRetrievePauseResumeTest URLRetrieve Pause Resume Test read PAUSE TIME URLRetrieve transfer tests resource	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes Service getServiceTypeIDs Service Type IDs authority service Type ECF naming Zeroconf Discovery	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Container IRemoteServiceContainerAdapter IRemote Service Container Adapter Service support GenericServerContainer Generic Server Container server Server class Generic adapter	Bug server supporrt remoteservice container adapter generic server
270332	problems patch reference fixed meaning Remy docshare attachment details strange	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation StringBuffer String Buffer Buffer String println Service Log parameter message LogService Log Service	Bug LogService implementation misses details logging Log Service
282667	impl CodeAnalyzer Code Analyzer Code ethz Analyzer bug Extension IOException comment Point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv SLP messages version jSLP SLP Bug change versions formats marked	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	attribute tags parser HTAB Bug bad jSLP SLP SLP Discovery accept	Bug Discovery jSLP Test parser bad tags SLP
302407	java exception Service Exception Method lang Impl AdvertiserImpl Advertiser Impl NoSuchMethodException Method Exception org	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery DiscoveryTestsWithoutRegister Discovery Tests Register Tests API Register DNS Execute Bug suite	Bug Discovery DNS Add API checks null test suite
316595	service eagerly Bug retrieving Defer instances retrieval test lazily Discovery	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property property IService IServiceProperty IService Property Bug Discovery	Bug Discovery Whitespaces allowed property
327029	foo Service IFooService IFoo Service method Foo rosgi Proxy rosgiFoo rosgi Foo OSGi proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location service port zookeeper bug eclipse URI html solution mhonarc	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Remote Factory remoteservice factory RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory Call IRemote RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service idFilter Filter Remote Filter References unnecessary parameter osgi	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable Status core Throwable Exception eclipse checkForSerializable check Serializable status STATUS	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container CompositeDiscoveryContainer Composite Discovery Container discovery Composite Type CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider Instance Instantiator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	hostnames Discovery hostname discovery Service ServiceResource Service Resource services Address org NPE	Bug Discovery resilient broken hostnames
329054	Container provider containers CompositeDiscoveryContainer Composite Discovery Container Discovery IConnect providers ContainerConnectException Container Connect Exception discovery ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Container DiscoveryContainers Discovery Containers Discovery Composite Containers Bug misses instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery Container ZooDiscoveryContainer Zoo Discovery Container Activator startup BundleActivator Bundle Activator Bundle start Zookeeper	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service services endpoint Container devsosgi ERROR object configs container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Endpoint registration EndpointDescription Endpoint Description services ServiceATracker Service ATracker class propsA props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote Call Remote restCall rest Call status Factory request Parameters	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	properties Property RSA someProperty Property foo private intent service exported Dotted	Bug TCK RSA exports private properties
342782	TCK properties RSA event set bundle events symbolicname spec version	Bug TCK RSA events set properties incorrectly
369023	Trace method framework java printStackTrace print Stack Trace util core org eclipse null	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service Harmless watchmanager NPE needed annoying thrown Bug unpublish Zoodiscovery	Bug Zoodiscovery NPE unpublishing service
406064	client CPU server percentage zoodiscovery Discovery processes Zoo zookeeper Bug	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service RestClientService Rest Client Service Client client content org Type Http user UTF	Bug RestClientService ignores content encoding Rest Client Service
414448	Service importService import Service import RemoteServiceAdmin Remote Service Admin error imported configs Admin registration Remote	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel Impl NPE Endpoint ethz Topics impl topicsAdded topics topics update	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service OSGi instance Message NPE receives Channel Remote MODIFIED	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service discovery Listener Discovery listener org type DiscoveryServiceListener Discovery Service Listener register eclipse	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client services Thread Client event ClientCnxn Client Cnxn case	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem ClassCastException Class Cast Exception Exception JUnit trace test exception JVM	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org Discovery eclipse ecf dev discovery distribution provider Composite Container	Bug remove code org eclipse ecf provider discovery
