90428	Jabber hotmail user login action disables group jabberserver button ECF	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Sync Time Client Initiator app provider SOContainer Thread Container	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client ClientApplication Client Application ContainerFactory Container Factory Application Container Eclipse Null Pointer provider	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug assertion bugs Service refsOne access issues Paul Woodward getRemoteServiceReferences Remote Service References	Bug Local access local remoteservicereference implemented
172958	IRC Channel Patch command setup work commands Bug Containers Container	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn buttons preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	Presence pictures Hover support parse highlights supports display XMPP cool	Bug Presence Hover highlights support pictures
198043	groups contacts dialog users list entries doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	Manager settings CTabFolders CTab Folders Room ChatRoomManagerView Chat Room Manager View CTab Chat patch Folders view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc IRC Ctrl hyperlink move problem Chatroom Bug Wrong underline	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors class Service discovery Info smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection editor IRC freenode eclipse channel chatroom irc appears problems	Bug IRC Wrong connection click hyperlink
204329	Adapter adapter getAdapter Adapter client Service registry Container remoteContainerTwo remote Container IRemote replica	Bug remoteservice registry updated adapter accessed connect
205532	URL chat subject channel hyperlinking account IRC box add output	Bug IRC add hyperlinking chat subject box
208667	msn presence client UNAVAILABLE sendPresenceUpdate send Presence Update null Update Personal Pointer Presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	null Message packet message server form Server Presence jivesoftware XMPPContainer	Bug message XMPP Server displayed
222824	port Google user talk XMPP provider default Talk gmail work	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password connection button Finish Bug wizard entered Steps	Bug MSN mail password entered Finish button clicked
233808	Test Discovery provider Listener SLP discovery IService Type Service IDIService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bit report usage Eclipse bug seconds sun increases	Bug MSN CPU usage increases connecting
242950	Container targetID target IRCChannel IRCChannelContainer IRCChannel Container NPE plugin irc provider target ecf	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource core IResource URI mailing dev eclipse mhonarc org CDC	Bug api add IResourceID IResource
254833	Bundle BundleContext Bundle Context system service consumer SLP resources ethz org eclipse	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
