90428	ECF Jabber hotmail login Character Provider org user action jabberserver	Bug Jabber Provider Character allowed Jabber login names
125572	Client SyncSOClientContainer Sync SOClient Container Sync Connected SOContainer TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer SOClient Initiator ECF	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Application Container Null Initializer ContainerFactory Container Factory NullPointerExcepton Null Pointer Excepton Client Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug assertTrue assert True IRemote remoteContainerOne remote Container assertion https local access Service	Bug Local access local remoteservicereference implemented
172958	Containers command Container Bug Patch work IRC containers setup Channel	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Bug Communications	Bug Communications preference isn empty
196007	Hover Presence pictures display hover Bug highlights support parse cool	Bug Presence Hover highlights support pictures
198043	dialog groups doesn Bug entries list contacts recognizer recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders CTab settings ChatRoomManagerView Chat Room Manager View Room Manager Chat Messages Bug	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom IRC Ctrl irc Bug move foobar channel hyperlink recognition	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class Info discovery parameters bug Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc channel chatroom editor Connection hyperlink IRC problems freenode	Bug IRC Wrong connection click hyperlink
204329	client remoteContainerTwo remote Container server Remote adapter IRemoteServiceReference IRemote Service Reference Adapter replica Bug getAdapter Adapter	Bug remoteservice registry updated adapter accessed connect
205532	chat subject topic URL channel account box hyperlinking IRC cases	Bug IRC add hyperlinking chat subject box
208667	getStatus Status Presence presence type Status client sendPresenceUpdate send Presence Update msn Personal Update	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPPContainer Message null message packetExtensions packet Extensions type Presence server	Bug message XMPP Server displayed
222824	Google port default work Bug Host gmail doesn provider user	Bug XMPP doesn work port Google Talk Host
222868	mail MSN password Bug Steps button entered connection clicked Open	Bug MSN mail password entered Finish button clicked
233808	Listener IService Test Service DiscoveryTest Discovery Test test Discovery IDIService provider listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU usage Eclipse bit MSN seconds sun Bug Steps java	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannel target disconnect Container IRCChannelContainer IRCChannel Container connection fireContainerEvent fire Container Event root NPE	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource html IResource core mailing URI CDC class dev eclipse	Bug api add IResourceID IResource
254833	jslp Bundle BundleContext Bundle Context Advertiser Activator consumer system service org SLP	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	registerService register Service getServiceName Service IServiceID IService IService IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery Service SLP Container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service getServiceName Service Discovery service discovery IServiceID IService isn fall fine SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	IService JMDNS IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery weight Container priority exchanges Service	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPService JSLPServiceInfo JSLPService Info IServiceInfo IService Info jslp IService SecurityException Security Exception doesn Security eclipse java	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	code error Eclipse log EMF Modelling NPE Framework Graphical SDK	NPE status code
259233	discovery Discovery URI JMDNS segment path Bug	Bug Discovery JMDNS URI path lost discovery
259389	Bug func SLP scope lookup sourceforge Discovery atid aid tracker	Bug Discovery SLP lookup scope case insensitive
265551	Http URLRetrievePauseResumeTest URLRetrieve Pause Resume Test tests TIME Pause Test resource HttpClient Http Client URLRetrieve transfer	Bug pause reads entire resource HttpClient provider Http Client
