90428	Character Jabber button jabberserver Provider hotmail Bug org Join names	Bug Jabber Provider Character allowed Jabber login names
125572	app provider Sync ECF TimeSyncInitiator Time Sync Initiator sendTimeSyncMessage send Time Sync Message initSyncService init Sync Service TimeSyncTask Time Sync Task IConnectContext IConnect Context SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Application Client ContainerFactory Container Factory Container app NullPointerExcepton Null Pointer Excepton Standalone Bug	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local registered access Service Local remoteservice implemented bugs fails posting	Bug Local access local remoteservicereference implemented
172958	commands IRC Root Patch Containers command Channel Bug Container containers	Bug IRC Patch commands Root Channel Containers
192574	Bug Defaults Communications empty preference isn settings buttons Restore	Bug Communications preference isn empty
196007	highlights Presence support Hover pictures hover Bug display supports cool	Bug Presence Hover highlights support pictures
198043	groups entries contacts open Bug list dialog users doesn recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings appearance messages view follow Folders ChatRoomManagerView Chat Room Manager View Bug Chat	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong Ctrl irc text Bug underline works fine click hyperlink	Bug Wrong underline hyperlink recognition
199259	discovery Service ServiceInfo Service Info constructors class Bug Info parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection click net Bug Wrong irc Connection channel chatroom	Bug IRC Wrong connection click hyperlink
204329	remote connect accessed Service remoteservice registry distributed clientTwo client updated IRemote	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL account add topic Bug accessed hyperlinked	Bug IRC add hyperlinking chat subject box
208667	msn Bug provider sendPresenceUpdate send Presence Update presence MSNContainer instance client Update Exception	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP Server displayed message null packet handleMessageEvent handle Message Event server Bug handle	Bug message XMPP Server displayed
222824	user port XMPP work Talk gmail Google Host Bug provider	Bug XMPP doesn work port Google Talk Host
222868	password mail MSN Bug button clicked entered connection wizard Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test provider tests Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener SLP fails eclipse	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU wait bit Bug sun seconds usage java process	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container timeouts disconnect targetID target throws IRC target irc eclipse Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource core IResource URI environment execution api identity Bug accomodate	Bug api add IResourceID IResource
254833	Discovery provider eclipse jslp Bundle SLP Context service Activator Bug	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Discovery Service identity Bug getServiceName Service JMDNS discovery JMDNSDiscoveryContainer JMDNSDiscovery Container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery IServiceID IService discovery service Service getServiceName Service optional SLP Bug IService	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Discovery JMDNS Service provider Bug JMDNSDiscoveryContainer JMDNSDiscovery Container IService IServiceInfo IService Info createServiceInfoFromIServiceInfo create Service Info IService Info exchanges	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	Discovery JSLPServiceInfo JSLPService Info JSLPService Bug Info IServiceInfo IService Info java Security provider SLP	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	update status tools error NPE Modelling fails SDK code Framework	NPE status code
259233	path Discovery discovery Bug URI lost JMDNS segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery lookup Bug SLP http scope net php case detail	Bug Discovery SLP lookup scope case insensitive
265551	Http pause URLRetrievePauseResumeTest URLRetrieve Pause Resume Test PAUSE entire fails HttpClient Http Client Resume provider noticed	Bug pause reads entire resource HttpClient provider Http Client
266120	naming Discovery JmDNS DNS DNS Bug servicetypes default Service IServiceTypeID IService Type IService	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server generic adapter class support Service IRemoteServiceContainerAdapter IRemote Service Container Adapter AbstractGenericServer Abstract Generic Server Generic plugin	Bug server supporrt remoteservice container adapter generic server
