90428	user action login Character button group Jabber hotmail Provider ECF	Bug Jabber Provider Character allowed Jabber login names
125572	SOContainer provider Sync Client SyncSOClientContainer Sync SOClient Container app server Container Task Time	Bug ECF Generic provider thread interlock
134483	Factory Application Client ECFPlugin Container Null contructor init Error provider	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug Service assertion bugs refsOne Paul issues Reference org access	Bug Local access local remoteservicereference implemented
172958	IRC setup Channel Patch work Bug command Containers Root commands	Bug IRC Patch commands Root Channel Containers
192574	buttons Defaults settings isn preference Bug Restore empty Communications affect	Bug Communications preference isn empty
196007	Presence Hover support display pictures highlights hover Bug parse XMPP	Bug Presence Hover highlights support pictures
198043	dialog contacts groups Bug users list entries doesn recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	settings Folders Chat Room Manager CTabFolders CTab Folders Messages View ChatRoomManagerView Chat Room Manager View appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc Bug Chatroom hyperlink IRC text recognition channel problem	Bug Wrong underline hyperlink recognition
199259	Info class discovery Service ServiceInfo Service Info constructors parameters takes bug Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection chatroom problems IRC freenode irc channel eclipse editor Wizard	Bug IRC Wrong connection click hyperlink
204329	client replica remoteContainerTwo remote Container Service Adapter IRemote Container container clientTwo client remote	Bug remoteservice registry updated adapter accessed connect
205532	chat channel subject URL account topic box handy main accessed	Bug IRC add hyperlinking chat subject box
208667	client presence UNAVAILABLE Update msn Presence instance Type null MSNContainer	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message null packet server message form Presence Server handleMessageEvent handle Message Event jivesoftware	Bug message XMPP Server displayed
222824	port user Google default work Host provider XMPP gmail Bug	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password button Bug connection entered clicked wizard Open	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery provider Service Type IService Listener IDIService Test Bug	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bug usage bit Bug seconds Eclipse sun guess	Bug MSN CPU usage increases connecting
242950	Container targetID target target Exception IRC variable NPE irc IRCChannel version	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResource core URI IResourceID IResource class org environment html eclipse CDC	Bug api add IResourceID IResource
254833	org Bundle service eclipse system jslp consumer Context Discovery provider	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	Service IService IServiceID IService org getServiceName Service identity JMDNSDiscovery registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container hostname	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service service discovery IServiceID IService getServiceName Service identity IService isn eclipse Discovery	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service exchanges IService Info priority provider org JMDNS Container JMDNSDiscoveryContainer JMDNSDiscovery Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	IService Security JSLPService JSLPServiceInfo JSLPService Info jslp IServiceInfo IService Info Info eclipse org SecurityException Security Exception	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error Eclipse Framework code Graphical Release SDK update Modelling tools	NPE status code
259233	discovery Discovery URI path JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	scope tracker case Bug func aid lookup detail Discovery net	Bug Discovery SLP lookup scope case insensitive
265551	tests resource Pause TIME Test provider read transfer Http PAUSE	Bug pause reads entire resource HttpClient provider Http Client
266120	authority Service Type service servicetypes Discovery naming IService getServiceTypeIDs Service Type IDs default	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Container server support class plugin Service Server IRemoteServiceContainerAdapter IRemote Service Container Adapter IRemote xml	Bug server supporrt remoteservice container adapter generic server
