90428	button Jabber Provider Bug Character action allowed login	Bug Jabber Provider Character allowed Jabber login names
125572	provider ECF TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container Connected app Initiator init killConnection kill Connection	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin ContainerFactory Container Factory Client Application Initializer Standalone Bug Container Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local registered Local access remoteservice implemented IRemote remote Remote remoteContainerOne remote Container	Bug Local access local remoteservicereference implemented
172958	Bug Containers commands IRC Patch command Container Channel containers Root	Bug IRC Patch commands Root Channel Containers
192574	settings Communications preference Defaults isn Bug buttons empty	Bug Communications preference isn empty
196007	highlights Hover Bug Presence hover cool supports support display pictures	Bug Presence Hover highlights support pictures
198043	groups entries contacts list open Bug dialog doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages ChatRoomManagerView Chat Room Manager View Bug Chat doesn Room CTab follow	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong fine underline Chatroom hyperlink IRC works Bug problem recognition	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service discovery constructors Bug parameters class cumbersome takes smaller	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC net click hyperlink connection irc Wrong Bug Connection freenode	Bug IRC Wrong connection click hyperlink
204329	remote remoteservice IRemoteServiceReference IRemote Service Reference IRemote remoteContainerTwo remote Container container registry client clientTwo client Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC chat hyperlinked add Bug topic URL hyperlinking accessed	Bug IRC add hyperlinking chat subject box
208667	msn MSNContainer presence sendPresenceUpdate send Presence Update Presence provider Null setPersonalMessage set Personal Message Message type	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	server XMPP packet type message XMPPContainer Server XMPPContainerPresenceHelper XMPPContainer Presence Helper Type field	Bug message XMPP Server displayed
222824	user port XMPP Host gmail provider Google Bug doesn work	Bug XMPP doesn work port Google Talk Host
222868	entered MSN mail password clicked Bug button Finish	Bug MSN mail password entered Finish button clicked
233808	Test DiscoveryTest Discovery Test Discovery tests SLP IDIService provider discovery IService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN sun CPU Bug java usage increases connecting	Bug MSN CPU usage increases connecting
242950	disconnect IRCChannelContainer IRCChannel Container connection timeouts fireContainerEvent fire Container Event server throws targetID target Bug root	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI api dev Bug html IResource add execution toURI URI	Bug api add IResourceID IResource
254833	SLP jslp eclipse Bundle Discovery Advertiser Bug jSLP SLP consumer org	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService getServiceName Service IService JMDNSDiscovery Discovery registerService register Service JMDNS Bug Service hostname	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery getServiceName Service IServiceID IService SLP service Bug discovery Service optional IService	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service IService Discovery JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container exchanges jmdns priority container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService Discovery jslp IServiceInfo IService Info Bug IService SLP Info java	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status NPE SDK code Framework Created fails attachment	NPE status code
259233	Discovery discovery path URI JMDNS Bug lost segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery http SLP Bug lookup php scope case	Bug Discovery SLP lookup scope case insensitive
