90428	jabberserver hotmail Jabber disables Join button character login Character username	Bug Jabber Provider Character allowed Jabber login names
125572	Client ClientSOContainer Client SOContainer IConnect Sync TimeSyncTask Time Sync Task ECF Connected Time SOContainer app	Bug ECF Generic provider thread interlock
134483	ECFPlugin Container Client ClientApplication Client Application ContainerFactory Container Factory Application app version ecf throws	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remote bugs bug Remote assert Service refsOne assertion registered	Bug Local access local remoteservicereference implemented
172958	command Containers commands Container Channel acceptable IRC continue setup write	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults isn buttons Communications Bug Apply preference affect empty	Bug Communications preference isn empty
196007	highlights Presence Hover supports cool hover Bug parse pictures display	Bug Presence Hover highlights support pictures
198043	doesn groups dialog entries contacts recognize open Bug users recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view Manager patch CTab messages based Room Folders settings	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC Chatroom irc hyperlink Wrong underline Steps Reproduce problem fine	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors smaller Service discovery Bug bug takes class parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc IRC Connection appears editor net freenode eclipse click	Bug IRC Wrong connection click hyperlink
204329	remote client getRemoteServiceReferences Remote Service References remoteContainerTwo remote Container server connect null IRemoteServiceContainerAdapter IRemote Service Container Adapter Service Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL channel add topic output hyperlinking accessed	Bug IRC add hyperlinking chat subject box
208667	presence type Presence set UNAVAILABLE msn variable null send client	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer null Message type server Server message form XMPPContainerPresenceHelper XMPPContainer Presence Helper	Bug message XMPP Server displayed
222824	Google gmail doesn Talk port work Host XMPP ignores default	Bug XMPP doesn work port Google Talk Host
222868	MSN mail Steps button entered connection password Open clicked Finish	Bug MSN mail password entered Finish button clicked
233808	Listener Discovery IService Test discovery test SLP DiscoveryTest Discovery Test tests Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU bit increases Eclipse Steps seconds usage MSN sun wait	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Timeout timeouts root connect Container targetID target NPE disconnect	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource dev URI core mailing moving msg api minimum	Bug api add IResourceID IResource
254833	SLP jslp slp eagerly BundleContext Bundle Context Bundle ethz system service accesses	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService container JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery getServiceName Service jSLP SLP Container hostname jmdns	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IService discovery Discovery service IServiceID IService Service eclipse SLP fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	IServiceInfo IService Info JMDNSDiscovery JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns Container Service IService Info container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info jslp Info SecurityException Security Exception throw eclipse Security Discovery	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	log error dialogs update Created Eclipse SDK dialog attachment NPE	NPE status code
259233	Discovery discovery lost path JMDNS URI segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	Discovery lookup SLP sourceforge scope func atid insensitive case tracker	Bug Discovery SLP lookup scope case insensitive
265551	entire Http paused Pause URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve provider resource patch test	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs IServiceTypeID IService Type service Type servicetypes default naming set Discovery transfered	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server Generic Server adapter class IRemoteServiceContainerAdapter IRemote Service Container Adapter GenericServerContainer Generic Server Container support generic Container	Bug server supporrt remoteservice container adapter generic server
