90428	Jabber Provider user jabberserver Character hotmail login ECF action usernames	Bug Jabber Provider Character allowed Jabber login names
125572	ECF IConnectContext IConnect Context provider app SOContainer Client TimeSyncInitiator Time Sync Initiator TimeSyncTask Time Sync Task IConnect ClientSOContainer Client SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Client Container Application Bug Factory Standalone Excepton	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access bug local bugs Bug Remote remote assertion https Local	Bug Local access local remoteservicereference implemented
172958	commands IRC Bug Patch Channel work Containers patch Root setup	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings preference isn Communications buttons Bug empty	Bug Communications preference isn empty
196007	Presence pictures highlights Hover support hover Bug display parse supports	Bug Presence Hover highlights support pictures
198043	groups contacts dialog Bug open list doesn entries users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings Bug view messages ChatRoomManagerView Chat Room Manager View Room appearance Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Bug Ctrl hyperlink Wrong underlined irc problem underline click Chatroom	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class Info parameters Bug bug cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc Bug channel chatroom Wrong editor Connection problems	Bug IRC Wrong connection click hyperlink
204329	adapter Bug registry remote getRemoteServiceReferences Remote Service References remoteContainerTwo remote Container Adapter client Container remoteservice	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC topic URL channel hyperlinking Bug account add	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence Update UNAVAILABLE Presence client provider null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packet Server null Message XMPP Bug Presence	Bug message XMPP Server displayed
222824	port XMPP user Google Bug talk gmail provider work default	Bug XMPP doesn work port Google Talk Host
222868	MSN password mail Bug entered connection wizard Steps button Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test IService SLP provider test IDIService Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug usage Bug Eclipse bit guess report hour	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel NPE Timeout Bug Container targetID target timeouts throws target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
