90428	Jabber jabberserver hotmail disables Character Provider Join login button allowed	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Sync app Client ClientSOContainer Client SOContainer provider IConnect based SyncSOClientContainer Sync SOClient Container Connected	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin ContainerFactory Container Factory Application Container Client Standalone Initializer Null standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local access bugs Local registered bug assert remoteContainerOne remote Container IRemote remote	Bug Local access local remoteservicereference implemented
172958	commands IRC command Containers Channel Patch Container acceptable Bug Root	Bug IRC Patch commands Root Channel Containers
192574	Communications settings isn preference Defaults Bug buttons empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover Bug supports cool parse pictures support hover	Bug Presence Hover highlights support pictures
198043	contacts groups doesn open dialog Bug entries recognize list users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages CTab Manager patch doesn settings follow appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline hyperlink IRC irc Chatroom Steps Reproduce problem fine	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection click irc freenode Wrong appears net editor	Bug IRC Wrong connection click hyperlink
204329	remote registry connect Container client remoteservice IRemote Service IRemoteServiceReference IRemote Service Reference adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC add URL channel hyperlinking topic Bug output	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update UNAVAILABLE MSNContainer type Presence provider getStatus Status set	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPP message Server null XMPPContainer Message type server form	Bug message XMPP Server displayed
222824	Google gmail port doesn XMPP user work Talk provider Bug	Bug XMPP doesn work port Google Talk Host
222868	MSN mail entered password button Steps connection Finish Bug Open	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery SLP Listener IService DiscoveryTest Discovery Test provider IDIService Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage increases Eclipse bit seconds Steps Bug normal	Bug MSN CPU usage increases connecting
242950	disconnect targetID target IRCChannelContainer IRCChannel Container timeouts NPE Container IRCChannel fire root connection	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api core URI add dev mailing html moving	Bug api add IResourceID IResource
