90428	Jabber jabberserver hotmail disables Provider user username Finish Join button	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Sync app TimeSyncInitiator Time Sync Initiator provider IConnect ClientSOContainer Client SOContainer Thread interlocked based	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Application Container Client Standalone Initializer standalone ecf	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local Service remoteservice access remote Local registered getRemoteServiceReferences Remote Service References Remote implemented	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel Patch acceptable patch command Bug mode Root	Bug IRC Patch commands Root Channel Containers
192574	Communications Defaults isn settings preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover supports pictures hover support Bug parse cool	Bug Presence Hover highlights support pictures
198043	contacts groups open entries list dialog doesn Bug recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages settings CTab appearance ChatRoomManagerView Chat Room Manager View Folders Manager patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline irc hyperlink Ctrl underlined text click fine IRC	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection Connection net irc Click click freenode Wrong Ctrl	Bug IRC Wrong connection click hyperlink
204329	remote Service connect IRemoteServiceContainerAdapter IRemote Service Container Adapter IRemote registry Adapter Container remoteContainerTwo remote Container remoteservice	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC add topic channel accessed hyperlinking Bug	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update UNAVAILABLE MSNContainer client send provider Update null presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP Server message packet null XMPPContainer Message server XMPPContainerPresenceHelper XMPPContainer Presence Helper handleMessageEvent handle Message Event	Bug message XMPP Server displayed
222824	XMPP port user Google gmail doesn Talk work provider Bug	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN mail connection Finish button Bug wizard Steps	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test provider SLP Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IDIService tests eclipse	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit increases bug connect usage Eclipse seconds report	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container timeouts NPE IRCChannel disconnect Container IRC Timeout targetID target TimeoutException Timeout Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api URI core add dev identity mailing moving	Bug api add IResourceID IResource
254833	eclipse SLP Bundle jslp slp Discovery BundleContext Bundle Context ecf internal provider	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Discovery JMDNS hostname JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info registerService register Service Fall getServiceName Service	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService getServiceName Service service Discovery IService discovery SLP Service optional Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Discovery JMDNSDiscoveryContainer JMDNSDiscovery Container Service JMDNSDiscovery jmdns IServiceInfo IService Info Info createServiceInfoFromIServiceInfo create Service Info IService Info exchanges	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService Discovery Info IServiceInfo IService Info SLP jslp SecurityException Security Exception Security eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	status error update NPEs Created NPE attachment SDK log dialogs	NPE status code
