90428	Jabber jabberserver username usernames hotmail disables Provider Finish button Bug	Bug Jabber Provider Character allowed Jabber login names
125572	ECF app IConnect provider Sync ClientSOContainer Client SOContainer TimeSyncInitiator Time Sync Initiator Initiator based IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Container Client Standalone Application ecf standalone Initializer	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteservice access remote Local Service registered bug Remote bugs	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel acceptable Patch patch command Bug Root continue	Bug IRC Patch commands Root Channel Containers
192574	Communications settings isn preference Defaults buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence pictures Hover supports hover support Bug parse cool	Bug Presence Hover highlights support pictures
198043	contacts groups open entries list dialog doesn Bug recognize users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages CTab ChatRoomManagerView Chat Room Manager View Folders Manager patch doesn Chat	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline fine hyperlink problem irc works IRC Steps underlined	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection Connection irc click net freenode Wrong appears editor	Bug IRC Wrong connection click hyperlink
204329	remote Adapter IRemote registry IRemoteServiceContainerAdapter IRemote Service Container Adapter connect Container remoteContainerTwo remote Container Service remoteservice	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC URL add chat hyperlinked channel hyperlinking topic accessed	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn MSNContainer send UNAVAILABLE presence provider Message client set	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP message Server packet XMPPContainer null server Message XMPPContainerPresenceHelper XMPPContainer Presence Helper form	Bug message XMPP Server displayed
222824	XMPP user port gmail Google provider doesn talk host Talk	Bug XMPP doesn work port Google Talk Host
222868	password MSN entered mail Finish button connection Bug Steps Select	Bug MSN mail password entered Finish button clicked
233808	Test Discovery discovery SLP provider IService IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener DiscoveryTest Discovery Test Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug increases usage sun connect Eclipse bit seconds	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel timeouts NPE disconnect Container targetID target Timeout IRC TimeoutException Timeout Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api URI core add dev interface mailing moving	Bug api add IResourceID IResource
254833	SLP Bundle jslp slp BundleContext Bundle Context Discovery eclipse ecf internal org	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Discovery JMDNS hostname JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery Fall jmdns IServiceInfo IService Info	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService IService Discovery getServiceName Service SLP service discovery Service optional Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Discovery jmdns JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Info Service exchanges create Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService Discovery Info SLP IServiceInfo IService Info jslp throw SecurityException Security Exception Bug	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status SDK Created NPEs NPE attachment fails log dialogs	NPE status code
259233	path URI Discovery lost discovery JMDNS Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery SLP func tracker lookup atid group case aid scope	Bug Discovery SLP lookup scope case insensitive
265551	entire pause URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource reads URLRetrieve tests Http provider HttpClient Http Client	Bug pause reads entire resource HttpClient provider Http Client
