90428	Jabber jabberserver hotmail disables Character Provider Join login button allowed	Bug Jabber Provider Character allowed Jabber login names
125572	ECF app Client ClientSOContainer Client SOContainer IConnect provider Sync based TimeSyncTask Time Sync Task Connected	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Client Container ContainerFactory Container Factory Standalone Application standalone app throws	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local access remote bugs Local registered bug Remote assert implemented	Bug Local access local remoteservicereference implemented
172958	commands IRC command Containers Channel Patch Container acceptable Bug Root	Bug IRC Patch commands Root Channel Containers
192574	isn Communications settings preference Defaults Bug buttons Apply affect empty	Bug Communications preference isn empty
196007	highlights Presence Hover Bug supports cool parse pictures support hover	Bug Presence Hover highlights support pictures
198043	contacts groups doesn open dialog Bug entries recognize list users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages CTab Manager patch doesn settings follow appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline hyperlink IRC irc Chatroom Steps Reproduce problem fine	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Service smaller Bug class parameters takes cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC Connection click irc freenode Wrong appears net editor	Bug IRC Wrong connection click hyperlink
204329	remote registry connect Container client remoteservice Service adapter Adapter IRemote	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC add URL channel hyperlinking topic Bug output	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update UNAVAILABLE MSNContainer Presence type provider set variable	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPP message Server null XMPPContainer Message type server form	Bug message XMPP Server displayed
222824	Google gmail port doesn XMPP user work Talk provider Bug	Bug XMPP doesn work port Google Talk Host
222868	MSN mail entered password button Steps connection Finish Bug Open	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery SLP Listener IService provider eclipse tests test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage increases Eclipse bit seconds Steps Bug normal	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container NPE IRCChannel disconnect Container Timeout timeouts targetID target root connect	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api core URI add dev mailing moving Bug	Bug api add IResourceID IResource
254833	SLP jslp Discovery Bundle eclipse ecf internal slp org eagerly	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService Discovery JMDNS hostname container getServiceName Service Fall JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service Discovery discovery IService IServiceID IService SLP service optional Service Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Discovery IServiceInfo IService Info JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns Container Service IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info IServiceInfo IService Info Discovery JSLPService Info SLP throw SecurityException Security Exception jslp Bug	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	status NPE Created log error code dialogs attachment update Eclipse	NPE status code
259233	Discovery path lost discovery JMDNS URI Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery SLP lookup scope Bug sourceforge case func atid insensitive	Bug Discovery SLP lookup scope case insensitive
265551	entire pause resource Http paused Pause provider Bug reads URLRetrievePauseResumeTest URLRetrieve Pause Resume Test	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery getServiceTypeIDs Service Type IDs JmDNS DNS naming IServiceTypeID IService Type default service set Bug Type	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter generic Generic Server class support IRemoteServiceContainerAdapter IRemote Service Container Adapter supporrt remoteservice	Bug server supporrt remoteservice container adapter generic server
270332	called DocShares Doc Shares Generic subject patch attachment Bug Doc meaning ECF	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log implementation LogService Log Service logging misses String details invokes Bug constructed	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer osgi ExtensionPoint Extension Point class remotesrvs Extension Code bug comment iks	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages Discovery version discard Bug discards change	Bug Discovery jSLP discard SLP protocol messages version SLP
