90428	jabberserver Jabber hotmail username disables Join usernames button character login	Bug Jabber Provider Character allowed Jabber login names
125572	IConnect Client ClientSOContainer Client SOContainer TimeSyncTask Time Sync Task TimeSyncInitiator Time Sync Initiator SOContainer IConnectContext IConnect Context Connected ECF Sync	Bug ECF Generic provider thread interlock
134483	ECFPlugin Container ContainerFactory Container Factory Client ClientApplication Client Application Application app ecf version throws	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remote local Remote bugs bug remoteContainerOne remote Container locally remoteservice assert Service	Bug Local access local remoteservicereference implemented
172958	commands command Containers acceptable Container Channel patch IRC continue setup	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn Communications Bug Apply preference affect empty	Bug Communications preference isn empty
196007	highlights hover Presence Hover supports cool Bug parse pictures display	Bug Presence Hover highlights support pictures
198043	groups contacts doesn open dialog entries recognize Bug users recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders view Manager patch CTab messages based Room settings	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC underlined problem Chatroom click irc hyperlink Wrong underline Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service smaller discovery bug Bug takes class Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc IRC Connection appears editor net freenode eclipse click	Bug IRC Wrong connection click hyperlink
204329	remote getRemoteServiceReferences Remote Service References client IRemoteServiceReference IRemote Service Reference remoteContainerTwo remote Container Remote server connect null IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat topic IRC URL channel add output hyperlinking accessed	Bug IRC add hyperlinking chat subject box
208667	presence sendPresenceUpdate send Presence Update msn Presence Message MSNContainer Update type UNAVAILABLE null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper null Message type server Server message form	Bug message XMPP Server displayed
222824	port XMPP gmail Google doesn talk Talk work Host ignores	Bug XMPP doesn work port Google Talk Host
222868	MSN entered password Steps connection mail button Open clicked Finish	Bug MSN mail password entered Finish button clicked
233808	IService Discovery discovery Listener Test IDIService test DiscoveryTest Discovery Test Service tests	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bug bit increases Eclipse Steps seconds usage disconnect	Bug MSN CPU usage increases connecting
242950	Timeout IRCChannelContainer IRCChannel Container IRCChannel timeouts connect root Container TimeoutException Timeout Exception targetID target NPE	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource dev URI core mailing moving msg api minimum	Bug api add IResourceID IResource
254833	jslp SLP slp eagerly BundleContext Bundle Context Bundle ethz system service accesses	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns getServiceName Service container IServiceInfo IService Info registerService register Service jSLP SLP	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IService service discovery Discovery Service IServiceID IService eclipse SLP fall	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery jmdns IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container IService Container Service Info container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info jslp Info SecurityException Security Exception throw eclipse Security Discovery	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update NPEs log Update SDK dialogs number Created Eclipse	NPE status code
259233	discovery Discovery path URI lost JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	atid func Discovery tracker lookup SLP sourceforge scope aid group	Bug Discovery SLP lookup scope case insensitive
265551	Pause paused URLRetrievePauseResumeTest URLRetrieve Pause Resume Test PAUSE URLRetrieve entire Http resource patch provider	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes IServiceTypeID IService Type service Type default naming set Discovery transfered	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Generic server adapter Server generic Adapter GenericServerContainer Generic Server Container class IRemoteServiceContainerAdapter IRemote Service Container Adapter support	Bug server supporrt remoteservice container adapter generic server
270332	patch called docshare subject attachment fixed Created Generic Doc problems	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log logging parameter StringBuffer String Buffer implementation message String invokes println LogService Log Service	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Code Extension comment bug Analyzer class extensionPoints extension Points osgi	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages version discard Discovery change formats future	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags bad SLP jSLP SLP Discovery Test accept Bug attribute	Bug Discovery jSLP Test parser bad tags SLP
302407	NoSuchMethodException Method Exception java Remote Service exception OSGi remote Advertiser osgi remotesrvs	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests DiscoveryTestsWithoutRegister Discovery Tests Register Discovery API checks Add null DNS suite	Bug Discovery DNS Add API checks null test suite
