90428	Jabber jabberserver hotmail username user usernames login action disables group	Bug Jabber Provider Character allowed Jabber login names
125572	Client ECF TimeSyncInitiator Time Sync Initiator IConnect Sync SOContainer ClientSOContainer Client SOContainer IConnectContext IConnect Context Time Initiator	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Container Client Application Eclipse Null ecf Pointer	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug bugs assertion Service refsOne remote access issues local getRemoteServiceReferences Remote Service References	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel Patch command setup acceptable work Bug patch	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	pictures Presence highlights Hover support parse hover supports display XMPP	Bug Presence Hover highlights support pictures
198043	groups contacts dialog open users list entries doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Manager settings Folders Room ChatRoomManagerView Chat Room Manager View CTab Chat patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc IRC Ctrl problem underlined hyperlink move click Chatroom Bug	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class discovery Info bug smaller parameters cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc editor freenode Connection eclipse channel chatroom appears	Bug IRC Wrong connection click hyperlink
204329	Adapter remoteContainerTwo remote Container getRemoteServiceReferences Remote Service References client remote adapter getAdapter Adapter Service registry Container	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat channel topic hyperlinking account IRC box add	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn presence Update UNAVAILABLE MSNContainer client null Presence Message	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null Message XMPPContainer message server form XMPPContainerPresenceHelper XMPPContainer Presence Helper Server Presence	Bug message XMPP Server displayed
222824	port XMPP talk Google user provider gmail default Talk work	Bug XMPP doesn work port Google Talk Host
222868	MSN password connection mail entered button wizard Steps Finish Bug	Bug MSN mail password entered Finish button clicked
233808	Discovery IService discovery Test IDIService provider Listener Service SLP Type	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug bit report usage Eclipse seconds hour sun	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel Container targetID target Timeout NPE timeouts plugin irc provider	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI mailing dev eclipse mhonarc org CDC	Bug api add IResourceID IResource
254833	jslp Bundle BundleContext Bundle Context system service consumer slp SLP resources ethz	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery registerService register Service hostname getServiceName Service IServiceInfo IService Info Service checks	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service service Service discovery IService IServiceID IService fall Discovery SLP fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS JMDNSDiscovery Info Service JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns Container IServiceInfo IService Info weight priority	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info SecurityException Security Exception Info Security eclipse jslp IService Discovery	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error NPEs SDK update Eclipse EMF log number code Install	NPE status code
259233	discovery URI Discovery path JMDNS lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func aid SLP tracker case sourceforge scope detail atid Discovery	Bug Discovery SLP lookup scope case insensitive
265551	Pause tests resource PAUSE Http transfer paused URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve pause	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes service Type Discovery authority JmDNS DNS Service ECF set	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	adapter server Generic IRemoteServiceContainerAdapter IRemote Service Container Adapter class Container support GenericServerContainer Generic Server Container Server generic	Bug server supporrt remoteservice container adapter generic server
270332	patch problems docshare attachment called fixed meaning Doc group channels	Bug called DocShares ECF Generic group handling Doc Shares
273135	StringBuffer String Buffer implementation parameter Log message LogService Log Service String Service println details	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer Code Extension class ExtensionPoint Extension Point bug service point Wojciech OSGI	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv version messages jSLP SLP Discovery versions formats discard Bug	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags attribute bad jSLP SLP HTAB Discovery Bug Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	java Service exception Impl NoSuchMethodException Method Exception Method inheritance org type OSGi	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests DiscoveryTestsWithoutRegister Discovery Tests Register API DNS checks Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service test Discovery retrieving Defer retrieval Bug lazily unit request	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property IService property Discovery Bug allowed IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	rosgi rosgiFoo rosgi Foo method IFooService IFoo Service foo OSGi Smart SmartProxyService Smart Proxy Service proxy stub	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	solution bug zookeeper location port dev problem mailing interest mhonarc	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory factory Factory IRemoteCallFactory IRemote Call Factory Remote RestCallFactory Rest Call Factory Call remoteservice IRemote rest	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References osgi implementation idFilter Filter parameter Service Remote String References simplified	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Throwable Status org exception core eclipse STATUS Exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	CompositeDiscoveryContainer Composite Discovery Container Discovery Container Composite CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator discovery eclipse ecf provider Type	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery discovery ServiceResource Service Resource Service hostnames hostname Inet Listener ecf NPE	Bug Discovery resilient broken hostnames
329054	provider Container Discovery IConnectContext IConnect Context containers discovery IConnect ecf CDC connect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	DiscoveryContainers Discovery Containers Discovery CompositeDiscoveryContainer Composite Discovery Container Composite Containers Container instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo ZooDiscoveryContainer Zoo Discovery Container Discovery Bundle startup Zookeeper BundleActivator Bundle Activator Container Activator Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	endpoint Service service devsosgi remoteserviceadmin osgi ecf ERROR container RemoteServiceContainer Remote Service Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ServiceATracker Service ATracker EndpointDescription Endpoint Description osgi propsA props property props ecf	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	restCall rest Call service Service IRemote Factory status Call Container adapter HTTP	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	properties RSA someProperty Property Property foo private intent service TCK exports	Bug TCK RSA exports private properties
342782	TCK RSA bundle event properties set events symbolicname version Bug	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin ecf eclipse org ECF printStackTrace print Stack Trace git option plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager unpublish Zoodiscovery annoying needed thrown Bug unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client server percentage Discovery Zoo zoodiscovery zookeeper high CPU processes	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service remoteservice client Client content org Service UTF IRemote eclipse	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service import error configs Service RemoteServiceAdmin Remote Service Admin matching registration Remote imported	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Impl Topics NPE Channel String ethz impl ChannelEndpointImpl Channel Endpoint Impl OSGi Endpoint	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	service SERVICE OSGi Message NPE handleMessage handle Message ethz Channel Remote impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener listener discovery register Discovery org Service ecf eclipse IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper Zoodiscovery connection client case application event connect disconnect Exception	Bug Discovery Zookeeper Auto reconnect issue
