90428	Jabber Provider Character ECF login hotmail org allowed user action	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Client SyncSOClientContainer Sync SOClient Container Sync provider app Connected SOContainer TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin Application Container ContainerFactory Container Factory Client Null Initializer NullPointerExcepton Null Pointer Excepton Bug	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access local bugs bug assertTrue assert True Bug IRemote Local remoteContainerOne remote Container assertion	Bug Local access local remoteservicereference implemented
172958	Containers IRC Bug Patch command commands Channel Container work Root	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults preference isn Communications buttons Bug empty	Bug Communications preference isn empty
196007	Presence Hover highlights Bug pictures support display hover cool parse	Bug Presence Hover highlights support pictures
198043	dialog groups Bug contacts doesn entries list open recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings Bug CTab view messages ChatRoomManagerView Chat Room Manager View Room appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom Bug IRC hyperlink Ctrl Wrong irc underline move foobar	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class parameters Bug Info cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Bug hyperlink channel chatroom Wrong editor Connection	Bug IRC Wrong connection click hyperlink
204329	client adapter Bug registry remote remoteContainerTwo remote Container server Adapter Remote Container	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL topic channel hyperlinking Bug account add	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update presence MSNContainer Presence getStatus Status type UNAVAILABLE Status client	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet message XMPPContainerPresenceHelper XMPPContainer Presence Helper Server null XMPPContainer Message XMPP Bug packetExtensions packet Extensions	Bug message XMPP Server displayed
222824	Google port user gmail Bug work doesn XMPP default provider	Bug XMPP doesn work port Google Talk Host
222868	mail MSN password Bug entered Steps button connection clicked Open	Bug MSN mail password entered Finish button clicked
233808	Test Discovery Listener IService SLP provider discovery DiscoveryTest Discovery Test test Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage Eclipse Bug bit seconds sun increases Steps	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container targetID target disconnect NPE IRCChannel connection target Bug timeouts Container	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core html api URI Bug mailing CDC class	Bug api add IResourceID IResource
254833	Bundle jslp SLP org Discovery eclipse Activator BundleContext Bundle Context Context Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService getServiceName Service IService registerService register Service Discovery hostname JMDNS IServiceInfo IService Info Bug JMDNSDiscoveryContainer JMDNSDiscovery Container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
