90428	hotmail Jabber button jabberserver user Character group login disables Join	Bug Jabber Provider Character allowed Jabber login names
125572	Sync app Time SOContainer TimeSyncInitiator Time Sync Initiator provider ClientSOContainer Client SOContainer Initiator ECF Thread	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application Client Container ClientApplication Client Application ContainerFactory Container Factory provider Factory NullPointerExcepton Null Pointer Excepton Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bugs bug assertion refsOne remoteservice exceptions access local issues	Bug Local access local remoteservicereference implemented
172958	IRC command commands Patch Channel setup Containers Root Container work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn Bug preference Communications empty Apply Restore	Bug Communications preference isn empty
196007	Presence highlights pictures support Hover display parse supports hover XMPP	Bug Presence Hover highlights support pictures
198043	groups contacts entries users list dialog doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	settings CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Room Folders Chat appearance Manager CTab messages	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl IRC text Chatroom Wrong hyperlink fine Bug works	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class Info smaller parameters Bug cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC editor channel irc net chatroom Connection eclipse freenode	Bug IRC Wrong connection click hyperlink
204329	Service client IRemote remoteContainerTwo remote Container remote Adapter connect IRemoteServiceContainerAdapter IRemote Service Container Adapter getAdapter Adapter adapter	Bug remoteservice registry updated adapter accessed connect
205532	chat URL subject channel account topic IRC hyperlinking accessed box	Bug IRC add hyperlinking chat subject box
208667	client presence msn Update sendPresenceUpdate send Presence Update UNAVAILABLE Personal instance Null Presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	null packet Message server Server message form handleMessageEvent handle Message Event packetExtensions packet Extensions XMPPContainer	Bug message XMPP Server displayed
222824	port user Google work XMPP Talk default provider talk Host	Bug XMPP doesn work port Google Talk Host
222868	password mail connection button MSN wizard clicked Bug entered Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery Test provider discovery Listener Service IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IService SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit seconds bug sun report usage Eclipse java	Bug MSN CPU usage increases connecting
242950	targetID target Container irc IRC target IRCChannel IRCChannelContainer IRCChannel Container Exception timeouts NPE	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	core IResourceID IResource IResource URI dev environment mailing execution mhonarc eclipse	Bug api add IResourceID IResource
254833	service Bundle jslp consumer Discovery BundleContext Bundle Context system provider eclipse resources	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Service registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container IServiceInfo IService Info getServiceName Service JMDNSDiscovery hostname ecf	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	discovery service Service IServiceID IService getServiceName Service Discovery IService isn fall SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container provider Info createServiceInfoFromIServiceInfo create Service Info IService Info Discovery IServiceInfo IService Info IService Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info Security JSLPService Discovery Info SecurityException Security Exception IServiceInfo IService Info provider jslp eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
