90428	user Jabber button login hotmail action Finish Character group character	Bug Jabber Provider Character allowed Jabber login names
125572	Sync Client app provider SOContainer Time TimeSyncInitiator Time Sync Initiator Container Initiator ECF	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client Application Container Null Factory ClientApplication Client Application ContainerFactory Container Factory Eclipse provider	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug Service bugs refsOne assertion Paul issues access registered remote	Bug Local access local remoteservicereference implemented
172958	Channel IRC setup commands command Patch work Container Root Containers	Bug IRC Patch commands Root Channel Containers
192574	isn settings Defaults buttons preference Communications Bug Restore empty Apply	Bug Communications preference isn empty
196007	Presence Hover highlights pictures support display parse supports Bug XMPP	Bug Presence Hover highlights support pictures
198043	contacts groups dialog users entries Bug list doesn recognize open	Bug open contacts dialog doesn recognize users groups
198334	settings Manager Chat Room Folders CTabFolders CTab Folders messages view ChatRoomManagerView Chat Room Manager View appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl IRC hyperlink Bug text Chatroom problem move underline	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class Info parameters takes smaller Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC freenode chatroom editor eclipse problems irc net channel	Bug IRC Wrong connection click hyperlink
204329	client Service remoteContainerTwo remote Container Adapter replica Container IRemote remote connect adapter	Bug remoteservice registry updated adapter accessed connect
205532	chat subject channel URL IRC account topic hyperlinking accessed main	Bug IRC add hyperlinking chat subject box
208667	client presence UNAVAILABLE msn Update Presence null instance sendPresenceUpdate send Presence Update org	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message null packet server message form Server Presence handleMessageEvent handle Message Event jivesoftware	Bug message XMPP Server displayed
222824	port user Google XMPP work gmail provider default Host talk	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password button connection entered Bug Finish clicked wizard	Bug MSN mail password entered Finish button clicked
