90428	hotmail Jabber jabberserver user login action disables group button ECF	Bug Jabber Provider Character allowed Jabber login names
125572	Sync TimeSyncInitiator Time Sync Initiator Thread SOContainer Initiator ECF Time ClientSOContainer Client SOContainer Client IConnect	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ContainerFactory Container Factory Container Client ClientApplication Client Application ecf Initializer Factory Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bug assertion remoteservice refsOne getRemoteServiceReferences Remote Service References bugs access remote issues	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel Patch command setup work Bug patch mode	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	Presence highlights pictures Hover support parse hover display supports XMPP	Bug Presence Hover highlights support pictures
198043	contacts groups entries list dialog users doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings ChatRoomManagerView Chat Room Manager View Folders Manager CTab Room Chat appearance patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc IRC text hyperlink underlined move problem click fine	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Info smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc editor Connection channel eclipse net freenode problems	Bug IRC Wrong connection click hyperlink
204329	Service remoteContainerTwo remote Container Adapter client IRemote remote IRemoteServiceContainerAdapter IRemote Service Container Adapter getAdapter Adapter adapter connect	Bug remoteservice registry updated adapter accessed connect
205532	URL subject chat channel topic account hyperlinking IRC accessed box	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update client msn UNAVAILABLE Update null presence send MSNContainer provider	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null Message message Server server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPP form	Bug message XMPP Server displayed
222824	port XMPP Google user talk provider default Talk gmail work	Bug XMPP doesn work port Google Talk Host
222868	password connection MSN mail entered button wizard Finish Bug Steps	Bug MSN mail password entered Finish button clicked
