90428	Jabber jabberserver button Provider Bug username Character action usernames hotmail	Bug Jabber Provider Character allowed Jabber login names
125572	TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container initSyncService init Sync Service provider IConnect Initiator killConnection kill Connection IConnectContext IConnect Context init	Bug ECF Generic provider thread interlock
134483	ContainerFactory Container Factory ECFPlugin ClientApplication Client Application Client Initializer Container Application ecf Standalone ECF	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteservice remote Remote remoteContainerOne remote Container registered Local IRemote access IRemoteServiceReference IRemote Service Reference	Bug Local access local remoteservicereference implemented
172958	commands Bug Containers IRC Patch command Container patch Channel containers	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults Communications preference buttons isn Bug empty	Bug Communications preference isn empty
196007	highlights hover Hover Bug Presence cool pictures supports support display	Bug Presence Hover highlights support pictures
198043	groups entries contacts list open Bug dialog doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View CTab view Chat Folders messages Bug Room doesn	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine works Wrong problem underline Chatroom hyperlink IRC Bug underlined	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service discovery constructors Bug parameters class cumbersome takes smaller	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC irc connection Connection net click Bug hyperlink Wrong freenode	Bug IRC Wrong connection click hyperlink
204329	IRemoteServiceReference IRemote Service Reference remote IRemote remoteContainerTwo remote Container Adapter client getAdapter Adapter Remote server IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject hyperlinked IRC topic chat add URL Bug accessed hyperlinking	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer Message presence setPersonalMessage set Personal Message provider Presence send Null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packet server XMPP type message Server Type field	Bug message XMPP Server displayed
222824	user XMPP port provider host gmail Host Google Bug doesn	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN mail clicked button Bug Select Finish	Bug MSN mail password entered Finish button clicked
233808	DiscoveryTest Discovery Test IService Test IDIService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Discovery tests test provider discovery	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN sun CPU bug connect java Bug usage increases disconnect	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container timeouts disconnect IRCChannel targetID target fireContainerEvent fire Container Event Timeout TimeoutException Timeout Exception connect server	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI api interface dev Bug html add execution	Bug api add IResourceID IResource
254833	jslp Bundle eclipse SLP BundleContext Bundle Context Advertiser Discovery slp Bug jSLP SLP	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	JMDNSDiscovery IServiceID IService IService getServiceName Service registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns Discovery Service JMDNS	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery IServiceID IService getServiceName Service Service IService service SLP Bug discovery optional	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS jmdns JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container IService Service Discovery exchanges priority container	Bug Discovery JMDNS JMDNS exchanges priority weight
