90428	Jabber button action hotmail user login disables group jabberserver ECF	Bug Jabber Provider Character allowed Jabber login names
125572	Initiator ClientSOContainer Client SOContainer Sync SOContainer ECF provider Client Time SyncSOClientContainer Sync SOClient Container IConnect	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client ContainerFactory Container Factory ClientApplication Client Application Application Container Null Initializer Eclipse Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug Service assertion refsOne remoteservice local access IRemote remote	Bug Local access local remoteservicereference implemented
172958	command Containers Patch Bug Container IRC Channel setup commands work	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	Presence Hover highlights pictures parse supports support display Bug cool	Bug Presence Hover highlights support pictures
198043	groups entries contacts list dialog users doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Room Chat Manager settings CTab Folders patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc Chatroom fine Ctrl hyperlink move problem Bug Wrong	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class discovery Info smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC net irc editor freenode click eclipse channel chatroom	Bug IRC Wrong connection click hyperlink
204329	Adapter client remoteContainerTwo remote Container IRemote getAdapter Adapter replica container Service adapter clientTwo client	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL channel IRC topic hyperlinking account hyperlinked box	Bug IRC add hyperlinking chat subject box
208667	presence msn Presence sendPresenceUpdate send Presence Update client Null UNAVAILABLE Message MSNContainer null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server null Message form message XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper Server Presence	Bug message XMPP Server displayed
222824	user port Google provider Host talk XMPP default Talk gmail	Bug XMPP doesn work port Google Talk Host
222868	password MSN entered button mail connection clicked Finish Bug wizard	Bug MSN mail password entered Finish button clicked
233808	Listener Test IService IDIService Discovery provider discovery SLP testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN sun bit report usage Eclipse bug seconds java	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannel IRCChannelContainer IRCChannel Container Container disconnect NPE timeouts target IRC server	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI dev IResource core mailing eclipse execution html environment	Bug api add IResourceID IResource
