90428	Jabber user Provider hotmail jabberserver Character login ECF action org	Bug Jabber Provider Character allowed Jabber login names
125572	ECF provider Sync IConnectContext IConnect Context threads SOContainer app Thread TimeSyncInitiator Time Sync Initiator Initiator	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Application Container Client Factory Initializer Bug ecf	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access Service local Bug remoteservice bug getRemoteServiceReferences Remote Service References assertion https bugs	Bug Local access local remoteservicereference implemented
172958	commands IRC Bug Patch Channel work Containers patch Root setup	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings preference isn Communications buttons Bug empty	Bug Communications preference isn empty
196007	Presence highlights pictures Hover support hover display Bug parse supports	Bug Presence Hover highlights support pictures
198043	contacts groups entries dialog list Bug open doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings Folders ChatRoomManagerView Chat Room Manager View appearance Bug view messages Chat CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl Bug irc hyperlink Wrong underlined text underline Chatroom click	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class discovery Info parameters Bug cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc channel problems Connection Bug chatroom editor Wrong	Bug IRC Wrong connection click hyperlink
204329	remote Service adapter remoteContainerTwo remote Container Bug registry Adapter client IRemote connect	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL topic IRC account channel hyperlinking Bug add	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn MSNContainer UNAVAILABLE client Update provider presence null Bug	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message Server XMPP XMPPContainerPresenceHelper XMPPContainer Presence Helper packet null XMPPContainer Message Bug server	Bug message XMPP Server displayed
222824	XMPP port user Google Bug provider gmail work default talk	Bug XMPP doesn work port Google Talk Host
222868	password MSN mail Bug entered connection wizard button Finish Select	Bug MSN mail password entered Finish button clicked
233808	Discovery Test provider discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener SLP Service tests test IDIService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU usage bug bit Bug connect Eclipse guess report	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel NPE IRC Timeout timeouts Bug Exception Container targetID target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI api Bug identity mailing CDC interface	Bug api add IResourceID IResource
254833	eclipse jslp Bundle org Discovery SLP Context BundleContext Bundle Context Bug provider	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService getServiceName Service Service JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service Discovery hostname JMDNS IServiceInfo IService Info	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService Service service getServiceName Service discovery Discovery SLP IService Bug isn	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS exchanges JMDNSDiscoveryContainer JMDNSDiscovery Container priority Service weight IService Discovery JMDNSDiscovery jmdns	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info IServiceInfo IService Info JSLPService IService Discovery doesn Info SecurityException Security Exception jslp Security	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error code update status EMF Release NPE Graphical Eclipse fails	NPE status code
259233	path discovery URI Discovery JMDNS Bug lost segment	Bug Discovery JMDNS URI path lost discovery
259389	SLP Bug func detail Discovery atid aid scope tracker case	Bug Discovery SLP lookup scope case insensitive
265551	Pause pause TIME URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource PAUSE Test tests URLRetrieve entire	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes Service Discovery getServiceTypeIDs Service Type IDs authority JmDNS DNS naming service ECF IServiceTypeID IService Type	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter generic class support Service GenericServerContainer Generic Server Container Container Generic	Bug server supporrt remoteservice container adapter generic server
270332	patch problems DocShares Doc Shares called fixed ECF group meaning Bug Remy	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation StringBuffer String Buffer LogService Log Service String Buffer Bug Log details Service misses	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug impl Code class Bug iks Analyzer Extension ethz	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv jSLP SLP messages SLP version Bug Discovery versions discard formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser attribute jSLP SLP Bug Discovery HTAB bad Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	java exception Service ServiceURL Service URL osgi Method URL remotesrvs lang Impl	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests DNS DiscoveryTestsWithoutRegister Discovery Tests Register API suite Bug Add checks	Bug Discovery DNS Add API checks null test suite
316595	service Discovery Defer Bug retrieval instances retrieving unit lazily test	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property Discovery Bug IService property IServiceProperty IService Property allowed	Bug Discovery Whitespaces allowed property
