90428	Jabber Provider login hotmail user Character action disables group jabberserver	Bug Jabber Provider Character allowed Jabber login names
125572	ECF app provider Sync Time Client Initiator SOContainer Thread Container	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin Client ContainerFactory Container Factory Container Application Standalone Eclipse standalone Null	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access bug assertion bugs Service refsOne local Local issues registered	Bug Local access local remoteservicereference implemented
172958	IRC Patch Channel commands Bug command setup work Containers Root	Bug IRC Patch commands Root Channel Containers
192574	isn Communications preference Defaults settings buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	Presence pictures Hover highlights support supports parse Bug cool display	Bug Presence Hover highlights support pictures
198043	contacts groups dialog open Bug doesn list entries users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view settings messages Manager Room ChatRoomManagerView Chat Room Manager View CTab Bug appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	hyperlink irc Wrong IRC underline Ctrl Bug move problem Chatroom	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Service class parameters Bug smaller cumbersome Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection editor freenode Wrong eclipse channel Bug chatroom click	Bug IRC Wrong connection click hyperlink
204329	adapter registry Adapter Container remote Service Bug getAdapter Adapter client connect	Bug remoteservice registry updated adapter accessed connect
205532	subject chat URL IRC channel add hyperlinking account Bug box	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update UNAVAILABLE presence MSNContainer client null provider Update Personal	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message null Message Server packet server XMPP form Presence Bug	Bug message XMPP Server displayed
222824	port user Google XMPP gmail provider Bug work talk doesn	Bug XMPP doesn work port Google Talk Host
222868	MSN mail password Bug connection button entered Finish wizard Steps	Bug MSN mail password entered Finish button clicked
