90428	Jabber jabberserver Character Provider hotmail allowed Bug org login username	Bug Jabber Provider Character allowed Jabber login names
125572	TimeSyncTask Time Sync Task IConnect ClientSOContainer Client SOContainer Client IConnectContext IConnect Context ECF Connected SOClient TimeSyncInitiator Time Sync Initiator app	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Container ContainerFactory Container Factory Client Standalone Bug app Application standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remote Remote remoteContainerOne remote Container bugs access Local locally bug Bug	Bug Local access local remoteservicereference implemented
172958	commands Containers IRC command Bug patch Patch Container Channel containers	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings Communications isn preference buttons Bug Apply affect empty	Bug Communications preference isn empty
196007	highlights hover Hover Bug Presence cool pictures supports support display	Bug Presence Hover highlights support pictures
198043	groups contacts dialog Bug open doesn entries list recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view Folders messages Bug doesn follow appearance settings CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom Wrong underlined underline click hyperlink problem Bug IRC Open	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery Bug bug smaller parameters Info class	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Connection Bug Wrong click freenode Wizard net	Bug IRC Wrong connection click hyperlink
204329	remote getRemoteServiceReferences Remote Service References Remote server IRemoteServiceReference IRemote Service Reference client remoteservice registry remoteContainerTwo remote Container Bug	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC chat topic add Bug hyperlinked hyperlinking URL	Bug IRC add hyperlinking chat subject box
208667	msn MSNContainer sendPresenceUpdate send Presence Update Presence presence type Update UNAVAILABLE Message Bug	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer packet XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPP type message Server Bug Type displayed	Bug message XMPP Server displayed
222824	XMPP port gmail Google doesn work Bug user Talk talk	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered mail Steps Bug connection Open Select clicked	Bug MSN mail password entered Finish button clicked
233808	Discovery IService discovery Test DiscoveryTest Discovery Test test Listener tests SLP IDIService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN connect usage disconnect Bug increases Eclipse bug Steps	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container Timeout IRCChannel timeouts connect NPE root connecting disconnect Container	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api Bug add core URI extends package	Bug api add IResourceID IResource
254833	jslp SLP Discovery Bug eclipse slp org ecf internal Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService getServiceName Service JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns Discovery JMDNS Bug container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IService Discovery Service IServiceID IService service discovery SLP Bug optional	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS jmdns JMDNSDiscovery IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container IService Discovery exchanges priority container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info IServiceInfo IService Info JSLPService Discovery Bug SLP jslp Info IService doesn	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	NPE Update code update error NPEs Created status number log	NPE status code
259233	discovery Discovery URI path JMDNS Bug lost segment	Bug Discovery JMDNS URI path lost discovery
259389	atid Discovery func lookup SLP Bug tracker scope insensitive aid	Bug Discovery SLP lookup scope case insensitive
265551	Pause PAUSE paused entire URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Bug URLRetrieve pause patch resource	Bug pause reads entire resource HttpClient provider Http Client
