90428	Jabber button disables jabberserver Provider username Finish action hotmail Bug	Bug Jabber Provider Character allowed Jabber login names
125572	ECF app ClientSOContainer Client SOContainer provider Initiator IConnect Sync based TimeSyncTask Time Sync Task Time	Bug ECF Generic provider thread interlock
134483	ClientApplication Client Application ECFPlugin ContainerFactory Container Factory Client Application Container Standalone Initializer Null standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local registered remoteservice access implemented Local remote bugs bug IRemote	Bug Local access local remoteservicereference implemented
172958	commands IRC command Containers Channel Patch Bug Container acceptable Root	Bug IRC Patch commands Root Channel Containers
192574	Communications settings isn preference Defaults buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence Hover Bug supports cool parse pictures support hover	Bug Presence Hover highlights support pictures
198043	groups contacts open entries list users dialog doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages ChatRoomManagerView Chat Room Manager View CTab Chat Room Manager patch doesn	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline fine hyperlink IRC irc Chatroom problem works Steps	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors discovery class Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection net click Connection irc freenode Wrong appears editor	Bug IRC Wrong connection click hyperlink
204329	remote IRemote Adapter registry remoteContainerTwo remote Container connect Container Service client remoteservice	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC chat add URL hyperlinked channel hyperlinking accessed topic	Bug IRC add hyperlinking chat subject box
208667	msn presence sendPresenceUpdate send Presence Update MSNContainer Presence provider Null Message UNAVAILABLE client	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	server packet XMPP message Server null XMPPContainer form Message type	Bug message XMPP Server displayed
222824	user port XMPP Google gmail provider doesn Host Talk work	Bug XMPP doesn work port Google Talk Host
222868	entered MSN password button mail Finish clicked connection Bug Steps	Bug MSN mail password entered Finish button clicked
233808	Test Discovery discovery SLP provider Listener IDIService IService DiscoveryTest Discovery Test tests	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU sun increases usage Eclipse bit seconds java report	Bug MSN CPU usage increases connecting
242950	disconnect IRCChannelContainer IRCChannel Container targetID target timeouts NPE Container IRCChannel server fireContainerEvent fire Container Event IRC	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI dev api IResource core execution add eclipse mailing	Bug api add IResourceID IResource
254833	SLP Bundle jslp eclipse BundleContext Bundle Context Discovery consumer service ecf Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Discovery JMDNS hostname registerService register Service ecf JMDNSDiscovery Fall getServiceName Service	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery getServiceName Service IServiceID IService discovery service SLP Service IService optional Bug	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service Discovery JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Container jmdns IService container Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info Discovery JSLPService jslp Info SLP IServiceInfo IService Info eclipse throw SecurityException Security Exception	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status SDK Created NPE attachment NPEs log dialogs Framework	NPE status code
259233	Discovery path lost discovery JMDNS URI Bug segment	Bug Discovery JMDNS URI path lost discovery
259389	Discovery SLP lookup case http scope sourceforge Bug group php	Bug Discovery SLP lookup scope case insensitive
265551	Http entire pause provider URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource URLRetrieve reads HttpClient Http Client changed	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery getServiceTypeIDs Service Type IDs JmDNS DNS naming default IServiceTypeID IService Type service set Bug servicetypes	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter generic support IRemoteServiceContainerAdapter IRemote Service Container Adapter Generic class Server supporrt GenericServerContainer Generic Server Container	Bug server supporrt remoteservice container adapter generic server
270332	DocShares Doc Shares called Doc ECF Generic Hashtable attachment group handling patch	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service implementation Log logging String misses details StringBuffer String Buffer invokes Bug	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer osgi ExtensionPoint Extension Point bug class remotesrvs Extension Code Point addExtensionPoints add Extension Points	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages SLP jSLP SLP SLPv Discovery version discard protocol Bug discards	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	jSLP SLP Discovery parser bad SLP tags Bug Test accept HTAB	Bug Discovery jSLP Test parser bad tags SLP
302407	remotesrvs osgi Service method Bug type callSync call Sync remote mismatch ServiceURL Service URL	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
