90428	Jabber Provider Character ECF login hotmail org allowed user action	Bug Jabber Provider Character allowed Jabber login names
125572	ECF Client provider app SOContainer TimeSyncTask Time Sync Task Connected SOClient ClientSOContainer Client SOContainer IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application Client Container ContainerFactory Container Factory Application Bug Factory Standalone app	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access local bugs bug Bug assertTrue assert True Local assertion https Remote	Bug Local access local remoteservicereference implemented
172958	Containers IRC Bug Patch command commands Channel Container work Root	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings isn preference buttons Communications Bug Apply affect empty	Bug Communications preference isn empty
196007	Presence Hover highlights Bug pictures support display hover cool parse	Bug Presence Hover highlights support pictures
198043	dialog groups Bug contacts doesn entries list open recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders settings Bug view messages ChatRoomManagerView Chat Room Manager View Room appearance Manager	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom Bug IRC hyperlink Ctrl Wrong irc underline move foobar	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Bug Service class Info parameters smaller bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Bug channel chatroom Wrong editor Connection problems	Bug IRC Wrong connection click hyperlink
204329	client adapter Bug registry remote getRemoteServiceReferences Remote Service References server remoteContainerTwo remote Container Adapter Container	Bug remoteservice registry updated adapter accessed connect
205532	subject chat IRC URL topic channel hyperlinking Bug account add	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update presence Presence MSNContainer type UNAVAILABLE client Bug provider	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet message XMPPContainerPresenceHelper XMPPContainer Presence Helper Server null XMPPContainer Message XMPP Bug packetExtensions packet Extensions	Bug message XMPP Server displayed
222824	Google port user gmail Bug work doesn XMPP default provider	Bug XMPP doesn work port Google Talk Host
222868	mail MSN password Bug entered Steps button connection clicked Open	Bug MSN mail password entered Finish button clicked
233808	Discovery Test Listener IService SLP discovery provider test tests testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN usage Eclipse Bug bit seconds sun increases Steps	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel NPE Timeout Bug root Container targetID target throws target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core api URI Bug mailing CDC class dev	Bug api add IResourceID IResource
254833	SLP jslp org Discovery eclipse Bundle Context Bug consumer BundleContext Bundle Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService getServiceName Service Discovery JMDNSDiscoveryContainer JMDNSDiscovery Container hostname JMDNSDiscovery JMDNS Bug SLP	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service Discovery discovery IServiceID IService Service SLP service IService Bug isn	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS IService exchanges priority IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery weight Discovery Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	IServiceInfo IService Info JSLPServiceInfo JSLPService Info JSLPService Discovery doesn Info SLP SecurityException Security Exception IService Bug	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	code NPE error Eclipse log EMF Modelling Created status Framework	NPE status code
259233	Discovery discovery URI JMDNS path Bug segment lost	Bug Discovery JMDNS URI path lost discovery
259389	SLP Bug Discovery lookup scope func sourceforge atid aid case	Bug Discovery SLP lookup scope case insensitive
265551	Pause pause entire resource Http Bug Test provider TIME URLRetrievePauseResumeTest URLRetrieve Pause Resume Test	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes Discovery authority JmDNS DNS IServiceTypeID IService Type ECF Bug Service service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter Server support class IRemoteServiceContainerAdapter IRemote Service Container Adapter supporrt Bug generic Adapter	Bug server supporrt remoteservice container adapter generic server
270332	called DocShares Doc Shares patch meaning Bug attachment Generic Remy group ECF	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log implementation LogService Log Service Bug details Service logging StringBuffer String Buffer misses Buffer	Bug LogService implementation misses details logging Log Service
