90428	button Finish user Join hotmail jabberserver usernames character Jabber group	Bug Jabber Provider Character allowed Jabber login names
125572	Sync app TimeSyncInitiator Time Sync Initiator SOContainer provider Client IConnect ClientSOContainer Client SOContainer Time Thread	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application Container Client app Error ContainerFactory Container Factory provider Factory contructor	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service remote remoteservice registered Remote local refsOne bug locally bugs	Bug Local access local remoteservicereference implemented
172958	commands Channel IRC setup command acceptable patch continue Root mode	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Communications Restore Bug empty Apply	Bug Communications preference isn empty
196007	highlights Presence Hover hover display supports support pictures parse Bug	Bug Presence Hover highlights support pictures
198043	contacts groups entries users dialog recognize list open doesn Bug	Bug open contacts dialog doesn recognize users groups
198334	settings view Folders Chat Manager appearance CTabFolders CTab Folders messages Room Messages	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl text works click hyperlink problem IRC underlined fine	Bug Wrong underline hyperlink recognition
199259	Service ServiceInfo Service Info Info class constructors parameters discovery takes smaller cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection net irc freenode problems chatroom Click Connection eclipse	Bug IRC Wrong connection click hyperlink
204329	remote Service connect remoteContainerTwo remote Container IRemoteServiceContainerAdapter IRemote Service Container Adapter client clientTwo client IRemote IRemoteServiceReference IRemote Service Reference Adapter	Bug remoteservice registry updated adapter accessed connect
205532	subject chat channel URL accessed topic main IRC handy window	Bug IRC add hyperlinking chat subject box
208667	presence client UNAVAILABLE msn org Update instance null call variable	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null Message Server message handleMessageEvent handle Message Event XMPP server XMPPContainer form	Bug message XMPP Server displayed
222824	user port XMPP gmail provider Google work default ignores Host	Bug XMPP doesn work port Google Talk Host
222868	MSN entered password button connection mail Finish Open clicked wizard	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery IDIService Service Type IService provider Test Listener DiscoveryTest Discovery Test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug bit chosen Eclipse usage seconds hour sun	Bug MSN CPU usage increases connecting
242950	Container timeouts targetID target IRC Exception Timeout disconnect target irc server	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResource IResourceID IResource core URI org identity execution net dev msg	Bug api add IResourceID IResource
254833	Bundle jslp eclipse provider org service Context slp Discovery Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery registerService register Service identity hostname null org	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service IService Service discovery IServiceID IService getServiceName Service identity eclipse optional hostname	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container Info Container provider JMDNSDiscovery IService container jmdns	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info Security JSLPService jslp eclipse IService Info org java provider	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update SDK tools opens NPEs status Release Eclipse Framework	NPE status code
