90428	Jabber jabberserver username usernames hotmail disables Provider Finish button Bug	Bug Jabber Provider Character allowed Jabber login names
125572	ECF app IConnect TimeSyncInitiator Time Sync Initiator ClientSOContainer Client SOContainer Client provider Sync based IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Client Standalone standalone Application throws ecf	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local access remote Local bug registered bugs Remote remoteservice implemented	Bug Local access local remoteservicereference implemented
172958	commands IRC Channel acceptable Patch patch command Bug Root continue	Bug IRC Patch commands Root Channel Containers
192574	Communications Defaults isn settings preference buttons Bug empty Apply affect	Bug Communications preference isn empty
196007	highlights Presence pictures Hover supports hover support Bug parse cool	Bug Presence Hover highlights support pictures
198043	contacts groups open dialog doesn Bug recognize users list entries	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders view messages CTab Manager patch doesn settings follow appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Wrong underline hyperlink underlined irc problem click IRC Steps Reproduce	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class Bug smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection Connection irc click freenode Wrong appears net editor	Bug IRC Wrong connection click hyperlink
204329	remote registry connect Container remoteservice Service adapter getRemoteServiceReferences Remote Service References Adapter IRemoteServiceReference IRemote Service Reference	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC add chat URL channel hyperlinking topic Bug output	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update MSNContainer presence UNAVAILABLE Message Update null provider Presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPP message Server XMPPContainer packet null Message server XMPPContainerPresenceHelper XMPPContainer Presence Helper form	Bug message XMPP Server displayed
222824	XMPP port user gmail Google talk doesn Talk work provider	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered connection mail Finish Steps button wizard Bug	Bug MSN mail password entered Finish button clicked
233808	Discovery discovery Test SLP IService provider IDIService eclipse ecf Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug increases usage connect Eclipse bit seconds normal	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container timeouts IRCChannel NPE disconnect Container Timeout targetID target TimeoutException Timeout Exception plugin	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api core URI add dev mailing moving Bug	Bug api add IResourceID IResource
254833	SLP jslp Discovery slp Bundle eclipse ecf internal org eagerly	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
