90428	Jabber Character Provider hotmail user button org jabberserver login action	Bug Jabber Provider Character allowed Jabber login names
125572	app provider ECF Sync SOContainer IConnectContext IConnect Context TimeSyncInitiator Time Sync Initiator Time server thread	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ClientApplication Client Application Client ContainerFactory Container Factory Container Factory NullPointerExcepton Null Pointer Excepton provider contructor	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access bugs Service bug assertion local refsOne Bug exceptions registered	Bug Local access local remoteservicereference implemented
172958	IRC Patch commands Bug Containers Root command Channel work Container	Bug IRC Patch commands Root Channel Containers
192574	Defaults Bug settings preference isn Communications buttons empty Restore	Bug Communications preference isn empty
196007	Presence highlights support pictures Hover display Bug hover parse supports	Bug Presence Hover highlights support pictures
198043	groups contacts entries dialog list Bug users open doesn recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders settings Folders appearance ChatRoomManagerView Chat Room Manager View Room messages Chat Bug view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc Bug Wrong Chatroom text IRC hyperlink underline works	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info discovery Service constructors class Info Bug parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC channel chatroom irc Bug editor problems Connection click	Bug IRC Wrong connection click hyperlink
204329	Service remote adapter Bug client registry container remoteContainerTwo remote Container connect IRemote	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL account IRC channel topic hyperlinking Bug add	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update presence client MSNContainer Bug Update provider UNAVAILABLE instance	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message null Server packet Message server XMPP packetExtensions packet Extensions Bug displayed	Bug message XMPP Server displayed
222824	user port XMPP work Google Bug provider default Talk Host	Bug XMPP doesn work port Google Talk Host
222868	password mail MSN Bug button connection clicked wizard entered Finish	Bug MSN mail password entered Finish button clicked
233808	Discovery Test provider discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener SLP Service tests Listener test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit usage Bug seconds sun bug wait Eclipse	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container targetID target target Exception IRC NPE irc Container IRCChannel timeouts	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI environment dev identity api Bug execution	Bug api add IResourceID IResource
254833	Discovery Bundle eclipse jslp service Context provider org SLP consumer	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService Service getServiceName Service registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container Discovery Bug hostname identity	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	IServiceID IService discovery service Discovery Service getServiceName Service SLP Bug isn IService	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service Discovery exchanges provider IService priority JMDNSDiscoveryContainer JMDNSDiscovery Container weight createServiceInfoFromIServiceInfo create Service Info IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	Discovery JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info Info Security IService Bug doesn java	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error code Modelling Graphical Framework Eclipse SDK update status tools	NPE status code
259233	Discovery path discovery URI Bug JMDNS segment lost	Bug Discovery JMDNS URI path lost discovery
