90428	Jabber jabberserver Character Provider hotmail allowed Bug org login username	Bug Jabber Provider Character allowed Jabber login names
125572	SyncSOClientContainer Sync SOClient Container Sync TimeSyncTask Time Sync Task IConnect Client ClientSOContainer Client SOContainer Connected ECF IConnectContext IConnect Context app	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Initializer Application ecf Standalone Bug Exception	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	local remoteContainerOne remote Container IRemote remote IRemoteServiceReference IRemote Service Reference Remote Local access bugs assertTrue assert True	Bug Local access local remoteservicereference implemented
172958	commands Containers IRC command Bug patch Patch Container Channel containers	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults Communications preference isn Bug empty	Bug Communications preference isn empty
196007	highlights hover Hover Bug Presence cool pictures supports support display	Bug Presence Hover highlights support pictures
198043	groups contacts dialog Bug open doesn entries list recognize recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders CTab view Folders messages Bug doesn follow appearance settings	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Chatroom Wrong underlined underline click hyperlink problem Bug IRC Open	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service discovery constructors Bug parameters class cumbersome takes smaller	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc Connection Bug click hyperlink Wrong freenode Wizard	Bug IRC Wrong connection click hyperlink
204329	remote IRemoteServiceReference IRemote Service Reference Remote server remoteservice remoteContainerTwo remote Container getRemoteServiceReferences Remote Service References client IRemote registry	Bug remoteservice registry updated adapter accessed connect
205532	subject IRC chat topic add Bug hyperlinked hyperlinking URL	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn getStatus Status MSNContainer Status Presence presence type Bug Update	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer packet XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPP type message Server Bug Type displayed	Bug message XMPP Server displayed
222824	XMPP port gmail Google doesn work Bug user Talk talk	Bug XMPP doesn work port Google Talk Host
222868	MSN password entered mail Steps Bug connection Open Select clicked	Bug MSN mail password entered Finish button clicked
233808	IService DiscoveryTest Discovery Test Test IDIService Service Discovery test tests discovery testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN connect usage disconnect Bug increases Eclipse bug Steps	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container disconnect timeouts IRCChannel targetID target Timeout TimeoutException Timeout Exception NPE fireContainerEvent fire Container Event connect	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource api Bug html add http core URI extends	Bug api add IResourceID IResource
254833	jslp SLP Bundle Activator BundleContext Bundle Context Discovery slp Bug eclipse Advertiser	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscovery getServiceName Service JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service jmdns IServiceInfo IService Info Discovery JMDNS	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Discovery IServiceID IService getServiceName Service Service IService service SLP Bug discovery optional	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS jmdns JMDNSDiscovery IServiceInfo IService Info JMDNSDiscoveryContainer JMDNSDiscovery Container IService Discovery exchanges priority container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService IServiceInfo IService Info jslp Discovery Bug SLP IService Info java	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	NPE Update code update error NPEs Created status number log	NPE status code
259233	discovery Discovery URI path JMDNS Bug lost segment	Bug Discovery JMDNS URI path lost discovery
259389	atid Discovery func lookup SLP Bug tracker scope insensitive aid	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve pause Http entire Bug HttpClient Http Client reads resource provider	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes IServiceTypeID IService Type getServiceTypeIDs Service Type IDs Discovery JmDNS DNS Bug naming IService default Service	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server adapter generic Generic Adapter Abstract Server AbstractGenericServer Abstract Generic Server Service support	Bug server supporrt remoteservice container adapter generic server
270332	called DocShares Doc Shares patch Generic Bug docshare subject Created meaning ECF	Bug called DocShares ECF Generic group handling Doc Shares
273135	StringBuffer String Buffer String Log LogService Log Service implementation Bug logging misses details invokes	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer osgi ExtensionPoint Extension Point remotesrvs Analyzer extensionPoints extension Points Bug Code reply iks	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP Discovery messages Bug version discard discards protocol	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser jSLP SLP bad SLP Discovery tags Bug Test attribute accept	Bug Discovery jSLP Test parser bad tags SLP
