90428	Jabber Provider user jabberserver Character hotmail login ECF action usernames	Bug Jabber Provider Character allowed Jabber login names
125572	provider ECF IConnectContext IConnect Context Initiator SyncSOClientContainer Sync SOClient Container app Sync Service TimeSyncTask Time Sync Task SOContainer	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory ClientApplication Client Application Client Container Application Factory Initializer ecf Bug	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	access local Service bug Bug bugs remoteservice assertion Remote https	Bug Local access local remoteservicereference implemented
172958	commands IRC Bug Patch Channel work Containers patch Root setup	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults preference isn Communications buttons Bug empty	Bug Communications preference isn empty
196007	Presence pictures highlights Hover support hover Bug display parse supports	Bug Presence Hover highlights support pictures
198043	groups contacts dialog list Bug entries open doesn users recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders ChatRoomManagerView Chat Room Manager View settings Bug CTab view messages Chat Room	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Bug problem hyperlink Ctrl Wrong fine irc underline Chatroom IRC	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service discovery class parameters Bug Info cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc Bug channel Connection chatroom Wrong editor problems	Bug IRC Wrong connection click hyperlink
204329	Adapter remote adapter remoteContainerTwo remote Container Bug registry getAdapter Adapter IRemote client Remote	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat IRC topic hyperlinked channel hyperlinking Bug account	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn MSNContainer client UNAVAILABLE presence provider Bug send Presence	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	message XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPPContainer packet Server null server Message XMPP Bug	Bug message XMPP Server displayed
222824	user XMPP port provider Google Bug gmail talk work default	Bug XMPP doesn work port Google Talk Host
222868	password MSN mail Bug entered connection button wizard Finish Select	Bug MSN mail password entered Finish button clicked
233808	Test Discovery provider IService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener SLP discovery test DiscoveryTest Discovery Test IDIService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bug usage Bug sun Eclipse java bit guess	Bug MSN CPU usage increases connecting
