90428	Jabber user login action button group hotmail Finish Provider Join	Bug Jabber Provider Character allowed Jabber login names
125572	Time provider Client Container app Sync ECF Task Initiator server	Bug ECF Generic provider thread interlock
134483	Client Application Container ECFPlugin ClientApplication Client Application Factory Pointer provider ContainerFactory Container Factory standalone	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug Service assertion bugs access issues Paul registered refsOne TEST	Bug Local access local remoteservicereference implemented
172958	Patch Channel setup command commands work IRC Bug Root Container	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults preference isn buttons Apply Communications affect empty Bug	Bug Communications preference isn empty
196007	pictures Presence highlights supports support cool Hover XMPP parse display	Bug Presence Hover highlights support pictures
198043	groups contacts open users list dialog entries recognize doesn Bug	Bug open contacts dialog doesn recognize users groups
198334	settings Manager Room appearance CTabFolders CTab Folders View view messages ChatRoomManagerView Chat Room Manager View Folders	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc problem move Wrong text Chatroom channel Ctrl hyperlink	Bug Wrong underline hyperlink recognition
199259	Service class constructors ServiceInfo Service Info discovery smaller Info takes parameters Bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection editor channel IRC appears click freenode Bug Click Wrong	Bug IRC Wrong connection click hyperlink
204329	adapter Service registry client Adapter connect remote container getAdapter Adapter accessed	Bug remoteservice registry updated adapter accessed connect
205532	chat subject channel URL accessed hyperlinking easily account box IRC	Bug IRC add hyperlinking chat subject box
208667	client presence Update msn UNAVAILABLE set Presence instance sendPresenceUpdate send Presence Update Pointer	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message null message packet Server form server Presence user Bug	Bug message XMPP Server displayed
222824	user Google port provider default work Talk talk Host gmail	Bug XMPP doesn work port Google Talk Host
222868	mail password MSN button connection Bug clicked Finish Open entered	Bug MSN mail password entered Finish button clicked
233808	Test Discovery provider discovery Type Listener test SLP Service IService	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bit usage report Eclipse seconds bug sun normal	Bug MSN CPU usage increases connecting
242950	Container target irc targetID target disconnect Exception IRCChannel IRCChannelContainer IRCChannel Container NPE plugin	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	core mailing org IResourceID IResource IResource environment URI dev minimum execution	Bug api add IResourceID IResource
254833	system service Bundle consumer Discovery resources provider BundleContext Bundle Context ecf org	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	Service checks IService IServiceID IService Container hostname Discovery registerService register Service Info container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	discovery service Service Discovery fall getServiceName Service IServiceID IService fine ecf SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Info Service priority Container JMDNS weight create container exchanges provider	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	Info Security JSLPServiceInfo JSLPService Info SecurityException Security Exception Discovery provider eclipse IServiceInfo IService Info JSLPService ecf	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK Framework Graphical Release Install log update code NPEs	NPE status code
259233	Discovery discovery path lost URI JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	case aid Discovery sourceforge func SLP scope group Bug detail	Bug Discovery SLP lookup scope case insensitive
265551	tests resource transfer Http TIME entire changed Pause provider Test	Bug pause reads entire resource HttpClient provider Http Client
266120	service authority Type naming default set Discovery Service getServiceTypeIDs Service Type IDs servicetypes	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	adapter class server Container Server support plugin xml IRemoteServiceContainerAdapter IRemote Service Container Adapter Generic	Bug server supporrt remoteservice container adapter generic server
270332	patch problems called meaning attachment attached channels subject group details	Bug called DocShares ECF Generic group handling Doc Shares
