59	DateUtils Utils MDT Calendar hour lang assertEquals assert Equals MST truncate Utils buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum compare values typesafe Valued Object classes int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time DurationFormatUtils Duration Format Utils Calendar getTimeInMillis Time Millis set Format result currentTimeMillis current Time Millis String	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test xFFFF FFFF Test unescapeXml unescape Xml FFFF unescape Unescape doTestUnescapeEntity Test Unescape Entity Xml	unescapeXml unescape Xml
295	thisBuf Buf length StrBuilder Str Builder Buf Str Builder LANG size usages places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width size pad width Fixed Pad appendFixedWidthPadRight append Fixed Width Pad method padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number NumberFormatException Number Format Exception Digits Format Utils Exception throws isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set Locale LocaleUtils Locale Utils availableLocaleSet Locale Set NullPointerException Null Pointer Exception Null FindBugs Find Bugs Pointer Exception Bugs	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend getTime Time StopWatch Watch pause Watch acts time counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language country PropertyConverter Property Converter Utils code case Property	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds Time getTime Time getTimeZone Time Zone test TimeZone Time Zone DateUtils Utils behaves	Dates behaves incorrectly minutes seconds
363	String Escape escape Javascripts StringEscapeUtils String Escape Utils javaScriptEscape java Script Escape JavascriptEscape Javascript Escape Javascript scripts Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement Exception assert test String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale FastDateFormat Fast Format Instance HashMap Hash Map case Time Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator Summary reduce infinite	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Decimal EqualsBuilder Equals Builder Big compareTo compare comparing Decimals BigDecimals Big Decimals don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width StrBuilder Str Builder Builder null pointer width Fixed handle nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string Word str WordUtils Word Utils String length abbreviate upper StringIndexOutOfBoundsException String Bounds Exception Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string insensitive Bug String case http Case sensitive locale	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number String NumberUtils Number Utils Exception Bounds LANG digit Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry ExtendedMessageFormat Extended Message Format Extended Message formattedPattern formatted Pattern escapingOn escaping appendTo append String	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String StringEscapeUtils String Escape Utils unicode characters utf Escape Characters Html escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number NumberUtils Number Utils return Decimal decimal hasDecPoint Dec Point Utils hasExp Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone format Format Zone GregorianCalendar Gregorian Calendar test getTimeZone Time Zone GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement replacementList replacement List replace Utils searchList search List Test case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals thread web webapp String leak org HashCodeBuilder Hash Code Builder	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Object ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format locale Format Week format SimpleDateFormat Simple Format Locale Simple Days	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator FractionTest Fraction Test Denominator case MIN factory Factory int	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number hasDecPoint Dec Point NumberUtils Number Utils String return hasExp Exp code java Utils	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar assertFalse assert False Time Utils Local Assert method assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java JDK Javadoc year format pattern formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case Utils Integer upper handle NumberFormatException Number Format Exception hex	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils Long createLong create Long numbers Integer createNumber create Number create handle hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils primitiveType primitive Type ObjectInputStream Object Input Stream ClassNotFoundException Class Exception class classLoader class Loader primitive bug	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int random length empty code nextInt Int size int RandomStringUtils Random String Utils chars	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils nextInt Int Utils Int start String RandomStringUtils Random String Utils throws source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal behaviour BigDecimal Big Decimal Big work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP SimpleDateFormat Simple Format parse space treats treat white SDP Parser	FastDateParser handle white space properly Fast Parser
832	quotes parse format handle unterminated SimpleDateFormat Simple Format FastDateParser Fast Parser Simple Format works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String work char hashCode hash Code Buffer lookupMap lookup Map CharBuffer Char Buffer StringEscapeUtils String Escape Utils	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
