59	DateUtils Utils MDT truncate Calendar switching hour method dealing oct result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Valued Enum typesafe enums int values Object	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Calendar getTimeInMillis Time Millis DurationFormatUtils Duration Format Utils result currentTimeMillis current Time Millis set Time cal Format	DurationFormatUtils returns wrong result Duration Format Utils
292	testNumberOverflow test Number Overflow unescape Test EntitiesTest Entities Test xFFFF FFFF unescapeXml unescape Xml Number test Unescape FFFF	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Builder LANG places noticed usages Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	append str width appendFixedWidthPadRight append Fixed Width Pad ArrayIndexOutOfBoundsException Array Bounds Exception method padChar pad Char Array Char size	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils throws numeric string digit fine substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils initialized availableLocaleSet Locale Set lang Set Find	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch pause suspend getTime Time acts time doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country variant strings POSIX case PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds testCalendar test Calendar behaves getTimeZone Time Zone TimeZone Time Zone Jul test incorrectly	Dates behaves incorrectly minutes seconds
363	String escapeJavaScript escape Java Script escape Escape Java Utils JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape javaScriptEscape java Script Escape Javascript	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case false statement assert Utils Exception String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale Instance locale Hash HashMap Hash Map key FastDateFormat Fast Format case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
