59	oct DateUtils Utils MDT DAY truncate MST Utils hour result method	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe ValuedEnum Valued Enum Valued int Object values Enum compareTo compare commons enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	result Calendar DurationFormatUtils Duration Format Utils set Time Duration Format cal String formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void test unescape Unescape Entity Exception Number testNumberOverflow test Number Overflow Maximim	unescapeXml unescape Xml
295	Str StrBuilder Str Builder Builder thisBuf Buf noticed length LANG reference fixing Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	method str width append pad StrBuilder Str Builder size Char strLen str Len int	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Format isDigits Digits numeric throws string create	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null cAvailableSet Set lang initialized NullPointerException Null Pointer Exception commons LocaleUtils Locale Utils cAvailableLocaleSet Locale Set Exception	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time StopWatch Watch Watch counter pause time sleep acts continue	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country POSIX case strings code Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time seconds rounding testCalendar test Calendar behaves test getTimeZone Time Zone Mon	Dates behaves incorrectly minutes seconds
363	Escape String Java Script Utils escape escapeJavaScript escape Java Script script str uncorrectly	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case false BooleanUtils Boolean Utils String toBoolean Boolean Exception Utils statement test	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance getDateInstance Instance Instance key locale FastDateFormat Fast Format Hash Format Fast Locale	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	reduce loop pretty Summary Fraction infinite numerator	infinite loop Fraction reduce numerator
393	compare Big equals BigDecimal Big Decimal comparing don compareTo compare Equals EqualsBuilder Equals Builder BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	null Null appendFixedWidth append Fixed Width exception Str handle set Text fixed Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string abbreviate upper String greater adjusted Word WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive html handling Common case Bug sensitive Case string	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Bounds Number createNumber create Number Exception throws NumberUtils Number Utils place digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended format String ExtendedMessageFormat Extended Message Format Message code formatted formatRegistry format Registry static	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters unicode escapeHtml escape Html StringEscapeUtils String Escape Utils println incorrectly escape Utils character	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number decimal NumberUtils Number Utils chars return Decimal foundDigit Digit Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone test dateTime Time GMT cal change	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
