59	DateUtils Utils MDT Calendar truncate hour oct result MST assert assertEquals assert Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Valued Enum compare typesafe values int Object enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time result Calendar DurationFormatUtils Duration Format Utils set cal Format currentTimeMillis current Time Millis getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test EntitiesTest Entities Test xFFFF FFFF unescapeXml unescape Xml test FFFF Unescape Xml doTestUnescapeEntity Test Unescape Entity	unescapeXml unescape Xml
295	thisBuf Buf length StrBuilder Str Builder Str Buf Builder LANG places noticed usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad width size Fixed Width method Pad appendFixedWidthPadRight append Fixed Width Pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils throws isDigits Digits NumberFormatException Number Format Exception Digits fine numeric substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set NullPointerException Null Pointer Exception Null Find Set initialized pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time getTime Time pause StopWatch Watch Watch acts time doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant language strings case PropertyConverter Property Converter string code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time seconds behaves getTime Time test getTimeZone Time Zone incorrectly TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	String escape Escape JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape Javascript javaScriptEscape java Script Escape StringEscapeUtils String Escape Utils escapeJavaScript escape Java Script script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
