59	MDT MST DateUtils Utils hour lang truncate Utils buggy Equals DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare Enum Valued ValuedEnum Valued Enum compare typesafe Object values enums classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar getTimeInMillis Time Millis set result Format MONTH String DECEMBER	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF Test test FFFF Unescape unescape EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml Entity	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder size Buf LANG usages places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width pad width appendFixedWidthPadRight append Fixed Width Pad strLen str Len method Pad Char StrBuilder Str Builder	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number NumberFormatException Number Format Exception Digits Format Utils isDigits Digits Exception throws	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception Null LocaleUtils Locale Utils Pointer Exception Bugs FindBugs Find Bugs cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time StopWatch Watch Watch acts suspend time split counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language country Utils code case strings variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds TimeZone Time Zone getTime Time Time Calendar behaves System getTimeZone Time Zone test	Dates behaves incorrectly minutes seconds
363	escape Escape javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils Utils String Java StringEscapeUtils String Escape Utils script java	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement Exception test String source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale FastDateFormat Fast Format Instance case HashMap Hash Map Time Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator Summary reduce infinite	infinite loop Fraction reduce numerator
393	compare Big compareTo compare comparing Decimal EqualsBuilder Equals Builder don BigDecimal Big Decimal Decimals BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width StrBuilder Str Builder Builder null pointer width Fixed handle nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String length abbreviate str WordUtils Word Utils substring upper StringIndexOutOfBoundsException String Bounds Exception Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs string insensitive String Bug case Case locale http sensitive	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number String NumberUtils Number Utils Exception createNumber create Number Bounds LANG digit Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended Message formatRegistry format Registry appendTo append formattedPattern formatted Pattern escapingOn escaping String	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode utf Characters StringEscapeUtils String Escape Utils escapeHtml escape Html escape Escape String println	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number NumberUtils Number Utils Digit return point Utils decimal Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Zone format Format GregorianCalendar Gregorian Calendar noformat getTimeZone Time Zone GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement StringUtils String Utils replace replaceEach replace Utils replacementList replacement List Test searchList search List case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread ThreadLocals Thread Locals String leak remove org HashCodeBuilder Hash Code Builder Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Object ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils Number createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format locale week Format format SimpleDateFormat Simple Format firstDayOfWeek Day Week Locale Simple Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Integer Denominator case test MIN factory Factory apache	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils isNumber Number String return hasDecPoint Dec Point code java Utils change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar assertFalse assert False Time Utils Local Assert method assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java JDK Javadoc year format pattern formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case Integer createNumber create Number Utils upper handle NumberFormatException Number Format Exception hex	NumberUtils handle upper case hex Number Utils
747	Number numbers Long createLong create Long NumberUtils Number Utils Integer hex handle createNumber create Number Hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils primitiveType primitive Type ObjectInputStream Object Input Stream ClassNotFoundException Class Exception classLoader class Loader class primitive Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int length empty code size chars int null char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils start String throws source problem confusing lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils createNumber create Number behaviour Big BigDecimal Big Decimal Decimal work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser SimpleDateFormat Simple Format parse space treats treat FDP white Parser parsed	FastDateParser handle white space properly Fast Parser
832	quotes parse format handle unterminated SimpleDateFormat Simple Format FastDateParser Fast Parser Simple Format works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence work char lookupMap lookup Map HashMap Hash Map Buffer Escape String Sequence	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
