59	MDT DateUtils Utils Utils hour oct truncate buggy DAY hours method	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe ValuedEnum Valued Enum Object Valued Enum int values compareTo compare commons classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar result set DurationFormatUtils Duration Format Utils Duration Time String cal Utils Format	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test unescape Entity doTestUnescapeEntity Test Unescape Entity Unescape reference entity void EntitiesTest Entities Test	unescapeXml unescape Xml
295	Str StrBuilder Str Builder length thisBuf Buf Builder LANG noticed reference places size	StrBuilder usages thisBuf length size Str Builder Buf
299	method str width size Pad StrBuilder Str Builder int appendFixedWidthPadRight append Fixed Width Pad pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception Format string NumberUtils Number Utils Utils throws numeric isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception Exception Pointer initialized cAvailableSet Set Bugs commons lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time counter StopWatch Watch suspend time Watch acts sleep shouldn pause	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country case code Utils POSIX strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test seconds Time behaves Mon testCalendar test Calendar CDT println	Dates behaves incorrectly minutes seconds
363	Escape String Utils script Java escape Script org escapeJavaScript escape Java Script StringEscapeUtils String Escape Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	case Boolean toBoolean Boolean BooleanUtils Boolean Utils statement String Utils test false Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance locale getDateInstance Instance getDateTimeInstance Time Instance case FastDateFormat Fast Format Format Hash key Time	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce pretty infinite Summary numerator	infinite loop Fraction reduce numerator
393	Big compare BigDecimal Big Decimal compareTo compare EqualsBuilder Equals Builder don Equals Decimal equals BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Builder Fixed Str Null handle null exception pointer getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string abbreviate upper String greater Word Utils Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs case Case insensitive handling String sensitive locale string html	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Number Bounds createNumber create Number NumberUtils Number Utils Exception Utils place thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended format String code ExtendedMessageFormat Extended Message Format Message java formatRegistry format Registry title	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String unicode escapeHtml escape Html StringEscapeUtils String Escape Utils incorrectly escape println Escape data	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
