59	DateUtils Utils MDT DAY oct Calendar Equals hour lang Utils DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum compareTo compare ValuedEnum Valued Enum typesafe classes values compare enums Object int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration Time String getTimeInMillis Time Millis currentTimeMillis current Time Millis Format result set	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test void EntitiesTest Entities Test testNumberOverflow test Number Overflow unescapeXml unescape Xml unescape Exception Unescape doTestUnescapeEntity Test Unescape Entity	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf length Builder Buf noticed LANG size usages	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width width appendFixedWidthPadRight append Fixed Width Pad Char padChar pad Char int pad StrBuilder Str Builder size	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberUtils Number Utils NumberFormatException Number Format Exception Format string works digit Utils Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set Exception FindBugs Find Bugs LocaleUtils Locale Utils availableLocaleSet Locale Set org Pointer	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch Watch pause suspend sleep Thread acts time continue	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country Utils PropertyConverter Property Converter POSIX tests strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds Time Jul TimeZone Time Zone testCalendar test Calendar getTimeZone Time Zone DateUtils Utils test	Dates behaves incorrectly minutes seconds
363	Java Escape escapeJavaScript escape Java Script String Script Utils StringEscapeUtils String Escape Utils escape Javascripts javaScriptEscape java Script Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils Utils Exception case String toBoolean Boolean StringIndexOutOfBoundsException String Bounds Exception statement false	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format getDateInstance Instance getDateTimeInstance Time Instance Time Format Instance locale Locale Hash methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction infinite Summary numerator reduce	infinite loop Fraction reduce numerator
393	compare Big BigDecimal Big Decimal EqualsBuilder Equals Builder Decimal compareTo compare BigDecimals Big Decimals comparing Decimals don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder getNullText Null Text Null Builder exception null Str pointer width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str WordUtils Word Utils String substring abbreviate upper greater StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug string String http case handling sensitive Case insensitive	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception createNumber create Number NumberUtils Number Utils Exception Bounds throws Number Utils front	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message format Extended ExtendedMessageFormat Extended Message Format String formattedPattern formatted Pattern code formatRegistry format Registry formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String StringEscapeUtils String Escape Utils characters unicode Html Escape UTF escape utf	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils number Digit decimal Decimal return Exp Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
