90428	1649
125572	11
134483	3
165815	-1
172958	45
192574	76
196007	855
198043	1237
198334	222
198731	1216
199259	-1
199309	765
204329	252
205532	179
208667	1
221053	7063
222824	2
222868	64
233808	-1
238970	-1
242950	1
250717	20
254833	1
255329	1824
255347	105
255352	119
257926	2
258488	1990
259233	51
259389	2245
265551	2725
266120	75
267481	2
270332	67
273135	8
282667	68
296107	-1
302394	1
302407	2147
314558	1857
316595	712
318075	-1
327029	108
327060	3394
327379	9
327582	54
328772	1
328998	-1
328999	-1
329054	-1
331740	34
332852	49
337345	2368
337643	395
342002	-1
342352	1
342782	28
369023	1
371768	4
406064	-1
408030	29
414448	-1
419902	-1
420433	336
426497	1
464701	242
471541	-1
485482	20
