259	typesafe ValuedEnum Valued Enum values classes Enum int lang Valued org compareTo compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar set Duration Time DurationFormatUtils Duration Format Utils result String Dec Utils cal	DurationFormatUtils returns wrong result Duration Format Utils
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG shouldn places Buf size	StrBuilder usages thisBuf length size Str Builder Buf
299	width str size method obj Pad appendFixedWidthPadRight append Fixed Width Pad int strLen str Len pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception Format createNumber create Number string substring Exception fine Utils numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Null Locale NullPointerException Null Pointer Exception Exception Pointer Bugs apache FindBugs Find Bugs cAvailableLocaleSet Locale Set initialized	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts bug StopWatch Watch doesn Watch suspend	StopWatch suspend acts split Watch
328	Locale toLocale Locale language case LocaleUtils Locale Utils country POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
365	toBoolean Boolean case Boolean BooleanUtils Boolean Utils test String statement StringIndexOutOfBoundsException String Bounds Exception source Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale case Instance getDateTimeInstance Time Instance Locale Format getDateInstance Instance methods Hash test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce pretty numerator Summary infinite	infinite loop Fraction reduce numerator
412	Fixed appendFixedWidth append Fixed Width Builder pointer getNullText Null Text width Null null handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string String StringIndexOutOfBoundsException String Bounds Exception Word upper abbreviate Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
457	StringIndexOutOfBoundsException String Bounds Exception String Number front Bounds Exception createNumber create Number Utils don digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format ExtendedMessageFormat Extended Message Format code Format Extended String formatRegistry format Registry formattedPattern formatted Pattern QUOTE appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
521	return Number isNumber Number code number Exp Point exponent Dec Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
552	String case replaceEach replace Test replacement StringUtils String Utils Utils org replacementList replacement List code	StringUtils replaceEach Bug Missing Documentation String Utils replace
587	Class toClass Class Object NPE element array Utils throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
664	Number code return String hasExp Exp isNumber Number Dec Digit hasDecPoint Dec Point java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Calendar Time Utils DateUtils Utils Local HOUR method False class	DateUtils isSameLocalTime work correct Utils Local Time
746	Number NumberFormatException Number Format Exception Integer case createNumber create Number Format Utils upper decode NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	Long Integer Number hex numbers createLong create Long createNumber create Number Hex check create	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception noformat Serialization Exception SerializationUtils Serialization Utils class ObjectInputStream Object Input Stream clone Loader	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code start Int ends array gap pass Utils String lang	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception String Illegal start confusing	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number work Java Format invocations create	NumberUtils createNumber bad behaviour leading Number Utils create Number
882	CharSequence Char Sequence Char String work code CharBuffer Char Buffer Map Sequence translate quote	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
