90428	button action	Bug Jabber Provider Character allowed Jabber login names
125572	TimeSyncTask Time Sync Task ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container server SOClient IConnect Message Connected SOContainer isConnected Connected	Bug ECF Generic provider thread interlock
134483	Initializer ContainerFactory Container Factory ECFPlugin Client ClientApplication Client Application Application Null Error Exception NullPointerExcepton Null Pointer Excepton	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remoteservice local IRemote Remote remote remoteContainerOne remote Container registered bugs assertTrue assert True bug	Bug Local access local remoteservicereference implemented
172958	Container Bug Containers containers Patch command commands	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons	Bug Communications preference isn empty
196007	hover highlights Bug Hover cool display Presence supports parse XMPP	Bug Presence Hover highlights support pictures
198043	entries groups list users	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Chat Room Folders CTab	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	fine Chatroom IRC works problem	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	net hyperlink irc IRC click Connection connection freenode	Bug IRC Wrong connection click hyperlink
204329	IRemoteServiceReference IRemote Service Reference remoteContainerTwo remote Container IRemote client clientTwo client server container getAdapter Adapter replica Reference	Bug remoteservice registry updated adapter accessed connect
205532	hyperlinked subject chat topic IRC accessed URL	Bug IRC add hyperlinking chat subject box
208667	Presence presence Status Null setPersonalMessage set Personal Message Message msn type getStatus Status MSNContainer	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	server packet Type field form XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper type packetExtensions packet Extensions packetID packet	Bug message XMPP Server displayed
222824	user port Host provider host	Bug XMPP doesn work port Google Talk Host
222868	button password entered clicked	Bug MSN mail password entered Finish button clicked
233808	DiscoveryTest Discovery Test IDIService IService Listener listener test tests Test testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	java sun	Bug MSN CPU usage increases connecting
242950	fireContainerEvent fire Container Event disconnect server targetID target IRCChannel Timeout timeouts target IRCChannelContainer IRCChannel Container root	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource execution environment dev toURI URI http html URI eclipse interface	Bug api add IResourceID IResource
254833	Advertiser jslp jSLP SLP Bundle service consumer BundleContext Bundle Context eclipse SLP Locator	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	JMDNSDiscovery registerService register Service getServiceName Service Service IServiceID IService IService container ecf Container ECFException	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service discovery IServiceID IService Discovery getServiceName Service Service IService	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service IService JMDNS JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns container Container createServiceInfoFromIServiceInfo create Service Info IService Info IServiceInfo IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	jslp JSLPService IService JSLPServiceInfo JSLPService Info java IServiceInfo IService Info eclipse provider lang	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	SDK error Framework fails	NPE status code
259233	discovery Discovery	Bug Discovery JMDNS URI path lost discovery
259389	http php	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test provider noticed HttpClient Http Client Http Client URLRetrieve changed	Bug pause reads entire resource HttpClient provider Http Client
266120	IServiceTypeID IService Type getServiceTypeIDs Service Type IDs servicetypes Service IService	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server Abstract Generic generic Server Service support adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter Adapter	Bug server supporrt remoteservice container adapter generic server
270332	Doc DocShares Doc Shares	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service StringBuffer String Buffer Log logging Buffer String Service	Bug LogService implementation misses details logging Log Service
282667	Point CodeAnalyzer Code Analyzer addExtensionPoints add Extension Points Comment extension ExtensionPoint Extension Point issues Extension extensionPoints extension Points bug	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	protocol SLP messages SLPv jSLP SLP	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	SLP jSLP SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	callSync call Sync remotesrvs Service ServiceURL Service URL method type Bug Advertiser AdvertiserImpl Advertiser Impl mismatch	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests	Bug Discovery DNS Add API checks null test suite
316595	eagerly lazily	Bug Discovery Defer service retrieval unit tests
318075	IServiceProperty IService Property IService	Bug Discovery Whitespaces allowed property
327029	Service RemoteSrvs Remote Srvs rosgi IFooService IFoo Service Foo foo Proxy SmartProxyService Smart Proxy Service service http	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	problem dev solution bug Note http html comment mailing posting	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Remote RemoteCalls Remote Calls factory rest Rest IRemoteCallFactory IRemote Call Factory Factory IRemote remoteservice	Bug IRemoteCallFactory IRemote Call Factory
327582	incorrect unnecessary	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Exception Status STATUS null status Serializable set checkForSerializable check Serializable SerializableStatus Serializable Status check	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Instance Container createInstance create Instance vice CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator CDC Composite Discovery discovery create	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Address ServiceResource Service Resource resource Resource ecf ECF Discovery discovery ServiceDiscoveryListener Service Discovery Listener Service	Bug Discovery resilient broken hostnames
329054	IConnect connect Composite Discovery Container provider discovery containers CompositeDiscoveryContainer Composite Discovery Container providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Container Containers Composite Discovery	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	BundleActivator Bundle Activator ZooDiscovery Zoo Discovery Zoo startup start Zookeeper Activator Bundle Discovery ZooDiscoveryContainer Zoo Discovery Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service services ecf osgi devsosgi ERROR ZooDiscovery Zoo Discovery exported ServiceInfo Service Info	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service IRemoteServiceProxy IRemote Service Proxy Context objectClass object Class registerService register Service service ServiceA Service ServiceTracker Service Tracker ServiceATracker Service ATracker bcf	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service containerFactory container Factory restCall rest Call IRemoteServiceRegistration IRemote Service Registration requestType request Type remoteService remote Service IRemote service dbUrl Url callSync call Sync	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property Property properties	Bug TCK RSA exports private properties
342782	incorrectly RSA set Bug symbolicname event TCK bundle version events	Bug TCK RSA events set properties incorrectly
369023	Trace printStackTrace print Stack Trace Null method pluginId plugin throwable methodName method eclipse core java	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	Harmless annoying	Bug Zoodiscovery NPE unpublishing service
406064	ZooDiscovery Zoo Discovery server client zookeeper Zoo Discovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service client Client Callable IRemoteCallable IRemote Callable IRemoteCall IRemote Call consumer RestClientService Rest Client Service rest UTF	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service import imported Service	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl impl Impl osgi topicsAdded topics OSGi Topics topics update updateTopics update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	Message RemoteOSGiMessage Remote OSGi Message SERVICE ChannelEndpointImpl Channel Endpoint Impl Endpoint Impl OSGi impl osgi handleMessage handle Message	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	DiscoveryServiceListener Discovery Service Listener type Listener listener Service IServiceTyped IService Typed IService typed Typed discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	creates connection Zoodiscovery ClientCnxn Client Cnxn client Connect SendThread Send Thread server cable startConnect start Connect	Bug Discovery Zookeeper Auto reconnect issue
471541	client caller package tests suites method JUnit calls callee type	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	removing dev Composite provider discovery Discovery services CompositeDiscoveryContainer Composite Discovery Container eclipse existing	Bug remove code org eclipse ecf provider discovery
