526	Builder Tree forest Default cases dataset Stack recursion Overflow building	Infinite Recursion DefaultTreeBuilder Default Tree Builder
552	Cluster Vector Vectors vectors NamedVectors Named Vectors RandomAccessSparseVector Random Access Sparse Vector Access Named names Random	AbstractCluster eliminates NamedVectors replacing RandomAccessSparseVector Abstract Cluster Named Vectors Random Access Sparse Vector
561	TestClassifier Test Classifier Classifier type command source parameters	TestClassifier correctly handle type source command parameters Test Classifier
564	distance convergence distanceThreshold distance Threshold KMeansClusterer KMeans Clusterer KMeans Clusterer convergenceDelta convergence Delta Threshold parameter Delta	KMeansClusterer distanceThreshold parameter testConvergence Iterable Cluster clusters double distanceThreshold method KMeans Clusterer distance Threshold test Convergence distance Threshold
565	bit bits operations Minhash Features signature sign array byte series	Features incorrectly hashed Minhash
576	preference userid Preference updateItemPref update Item Pref Item AVG Pref case updating delta	AbstractJDBCDiffStorage updateItemPref updating AVG incorrectly cases Abstract JDBCDiff Storage update Item Pref
580	Parameters Bayes BayesParameters Bayes Parameters HBase basePath base Path base params InMemoryDataStore Memory Data Store Memory Pierre	Missing basePath Bayes job InMemoryDataStore base Path Memory Data Store
583	file files chunk sequence data Loss directory output loss overwrite	Loss data create sequence files directory
602	confluence wiki Implementation org MAHOUT operations apache display throws exceptions	Partial Implementation throws exceptions
604	Classifier training data Bayes exception tested throws fails	Bayes Classifier fails data training data
610	Row RowB Row Similarity cooccurences RowA Row RowPair Row Pair isn tests Reducer class	Coocurrences SimilarityReducer Similarity Reducer
614	Format Output apache classifier Record FileOutputFormat File Output Format hunch Hadoop override Task	org apache mahout classifier baytes MultipleOutputFormat working intended Hadoop Multiple Output Format
625	data pattern test project retail FPGrowth patterns times focus note	generated patterns support higher reality
631	WeightedRunningAverage Weighted Running Average Weighted Dev datum Std WeightedRunningAverageAndStdDev Weighted Running Average Std Dev problem weighted hey bug	Small bug WeightedRunningAverage add WeightedRunningAverageAndStdDev Weighted Running Average Weighted Running Average Std Dev
641	Conf TransposeJob Transpose Job Configuration Transpose setConf set Conf Row DistributedRowMatrix Distributed Row Matrix Confs Matrix method	DistributedRowMatrix hadoop jobs ignore Configuration set setConf Distributed Row Matrix set Conf
678	Gradient Ranking RankingGradient Ranking Gradient negative MixedGradient Mixed Gradient Mixed Null algorithm Pointer gradient	NullPointerException MixedGradient SGD algorithm Null Pointer Exception Mixed Gradient
