526	forest Builder Tree building DefaultTreeBuilder Default Tree Builder	Infinite Recursion DefaultTreeBuilder Default Tree Builder
552	AbstractCluster Abstract Cluster Abstract Vector Vectors vectors Named sparse Cluster names Sparse	AbstractCluster eliminates NamedVectors replacing RandomAccessSparseVector Abstract Cluster Named Vectors Random Access Sparse Vector
561	TestClassifier Test Classifier Test Classifier	TestClassifier correctly handle type source command parameters Test Classifier
564	KMeansClusterer KMeans Clusterer distance distanceThreshold distance Threshold Clusterer setting KMeans convergence convergenceDelta convergence Delta testConvergence test Convergence test	KMeansClusterer distanceThreshold parameter testConvergence Iterable Cluster clusters double distanceThreshold method KMeans Clusterer distance Threshold test Convergence distance Threshold
565	bits bit implementation minhash operations feature	Features incorrectly hashed Minhash
576	RunningAverage Running Average Running userid preference JDBCDiff updateItemPref update Item Pref updating update DiffStorage Diff Storage AbstractJDBCDiffStorage Abstract JDBCDiff Storage	AbstractJDBCDiffStorage updateItemPref updating AVG incorrectly cases Abstract JDBCDiff Storage update Item Pref
580	basePath base Path BayesParameters Bayes Parameters Bayes HBase HBaseDataStore HBase Data Store base Base Parameters params modelBasePath model Base Path	Missing basePath Bayes job InMemoryDataStore base Path Memory Data Store
583	files file directory	Loss data create sequence files directory
602	Implementation operations Partial	Partial Implementation throws exceptions
604	Bayes data exception Classifier training tested throws fails	Bayes Classifier fails data training data
610	Similarity CooccurencesMapper Cooccurences Mapper Cooccurences similarity Coocurrence WeightedCoocurrenceArray Weighted Coocurrence Array RecommenderJob Recommender Job adapt Coocurences SimilarityReducer Similarity Reducer	Coocurrences SimilarityReducer Similarity Reducer
614	FileSystem File System Task MultipleOutputFormat Multiple Output Format Hadoop FileOutputFormat File Output Format File mahout baytes TaskAttemptContext Task Attempt Context classifier	org apache mahout classifier baytes MultipleOutputFormat working intended Hadoop Multiple Output Format
625	pattern patterns generated occurs note bug data focus project proves	generated patterns support higher reality
631	Weighted WeightedRunningAverage Weighted Running Average weighted WeightedRunningAverageAndStdDev Weighted Running Average Std Dev	Small bug WeightedRunningAverage add WeightedRunningAverageAndStdDev Weighted Running Average Weighted Running Average Std Dev
641	Conf TransposeJob Transpose Job MatrixMultiplicationJob Matrix Multiplication Job Transpose setConf set Conf Configuration Confs	DistributedRowMatrix hadoop jobs ignore Configuration set setConf Distributed Row Matrix set Conf
678	RankingGradient Ranking Gradient Gradient gradient Ranking negative MixedGradient Mixed Gradient NullPointerException Null Pointer Exception positive	NullPointerException MixedGradient SGD algorithm Null Pointer Exception Mixed Gradient
