90428	Jabber hotmail user jabberserver group username Join usernames ECF disables	Bug Jabber Provider Character allowed Jabber login names
125572	Sync Time ECF Initiator SOContainer Thread TimeSyncInitiator Time Sync Initiator Client ClientSOContainer Client SOContainer provider	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application Client ContainerFactory Container Factory ClientApplication Client Application Container ecf provider Eclipse Factory	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bug refsOne bugs assertion getRemoteServiceReferences Remote Service References issues Paul access remoteservice	Bug Local access local remoteservicereference implemented
172958	command commands setup Channel Container work IRC Patch containers acceptable	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Communications Apply Bug Restore affect	Bug Communications preference isn empty
196007	pictures highlights Presence display supports parse Hover support hover cool	Bug Presence Hover highlights support pictures
198043	contacts groups entries list dialog open users doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	settings CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Room Folders Manager CTab Chat appearance view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl IRC text problem hyperlink fine move underlined channel	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class Info discovery parameters smaller bug takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC editor irc eclipse freenode channel Connection net chatroom	Bug IRC Wrong connection click hyperlink
204329	Adapter Service client getAdapter Adapter remoteContainerTwo remote Container adapter IRemote IRemoteServiceContainerAdapter IRemote Service Container Adapter remote registry	Bug remoteservice registry updated adapter accessed connect
205532	chat URL subject channel account topic accessed hyperlinking IRC output	Bug IRC add hyperlinking chat subject box
208667	client sendPresenceUpdate send Presence Update UNAVAILABLE msn presence Update null Personal MSNContainer send	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	null Message packet message server Server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPP handleMessageEvent handle Message Event	Bug message XMPP Server displayed
222824	port user XMPP Google provider talk default gmail catch host	Bug XMPP doesn work port Google Talk Host
222868	password MSN connection mail entered wizard button Steps Finish Bug	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery provider Listener Service testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IDIService IService SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit bug seconds report Eclipse sun usage java	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel targetID target Container IRC NPE irc Exception timeouts Timeout	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI dev mailing eclipse org java mhonarc	Bug api add IResourceID IResource
254833	Bundle BundleContext Bundle Context eclipse jslp system consumer slp Context service provider	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container Service getServiceName Service IServiceInfo IService Info hostname JMDNSDiscovery Container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service discovery IServiceID IService Service getServiceName Service IService eclipse fall fine Discovery	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container Info JMDNSDiscovery Container IServiceInfo IService Info provider createServiceInfoFromIServiceInfo create Service Info IService Info priority	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info SecurityException Security Exception JSLPService Security eclipse IServiceInfo IService Info Info jslp IService provider	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK NPEs Install Release update Eclipse EMF Modelling Framework	NPE status code
259233	path discovery URI Discovery lost JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func aid sourceforge detail SLP tracker case scope group atid	Bug Discovery SLP lookup scope case insensitive
265551	Pause resource tests TIME Test Resume URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve transfer PAUSE	Bug pause reads entire resource HttpClient provider Http Client
266120	service getServiceTypeIDs Service Type IDs servicetypes Type Service authority naming default ECF Discovery	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	IRemoteServiceContainerAdapter IRemote Service Container Adapter class Container adapter GenericServerContainer Generic Server Container support server Generic Server plugin	Bug server supporrt remoteservice container adapter generic server
270332	patch problems attachment docshare fixed subject called attached meaning details	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String StringBuffer String Buffer Log Buffer LogService Log Service println Service parameter details	Bug LogService implementation misses details logging Log Service
282667	bug CodeAnalyzer Code Analyzer Code Extension Wojciech class OSGI service ExtensionPoint Extension Point interface	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv version SLP messages jSLP SLP formats change discard versions future	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser attribute HTAB bad jSLP SLP Discovery Bug Test accept	Bug Discovery jSLP Test parser bad tags SLP
302407	exception java Service Impl Method lang happen slp ServiceURL Service URL coconut	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Discovery test DiscoveryTestsWithoutRegister Discovery Tests Register Tests API DNS Register checks Execute suite	Bug Discovery DNS Add API checks null test suite
316595	service retrieving instances Discovery Defer request retrieval lazily Bug unit	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property IService property Discovery Bug allowed IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo rosgi rosgiFoo rosgi Foo proxy Smart OSGi Proxy SmartProxyService Smart Proxy Service	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location bug dev mailing port solution zookeeper interest URI eclipse	Bug discovery zookeeper location URI include port
327379	factory Remote RemoteCallFactory Remote Call Factory Factory RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory remoteservice Call RemoteCalls Remote Calls rest	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service osgi idFilter Filter parameter Remote Filter String incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Status Throwable core STATUS org ecf null exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite CompositeDiscoveryContainer Composite Discovery Container discovery provider CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance eclipse ecf	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostname ServiceResource Service Resource resource Address Listener getInetAddress Inet Address hostnames	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery discovery ContainerConnectException Container Connect Exception CompositeDiscoveryContainer Composite Discovery Container Composite ecf CDC	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Discovery DiscoveryContainers Discovery Containers Composite Container Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Bundle Container startup Zookeeper BundleActivator Bundle Activator asynchronously Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service devsosgi endpoint osgi container ERROR Container ecf remoteserviceadmin	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service osgi propsA props property class Endpoint props ServiceATracker Service ATracker	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote status Call restCall rest Call Factory registration Remote HTTP	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties private someProperty Property foo intent exported Property service Dotted	Bug TCK RSA exports private properties
342782	TCK RSA properties bundle event set version symbolicname events spec	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin git method org ecf String option printStackTrace print Stack Trace eclipse	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service needed watchmanager annoying Zoodiscovery Harmless unpublish thrown Bug	Bug Zoodiscovery NPE unpublishing service
406064	client percentage server CPU Discovery processes zoodiscovery Zoo zookeeper high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content Service client org remoteservice Client Http UTF encoding	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service error Service configs RemoteServiceAdmin Remote Service Admin import Admin Remote matching registration	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel NPE Endpoint Impl String ChannelEndpointImpl Channel Endpoint Impl Topics update ethz updateTopics update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
