90428	Jabber hotmail user jabberserver username usernames group disables Join character	Bug Jabber Provider Character allowed Jabber login names
125572	Sync ECF Client SOContainer TimeSyncInitiator Time Sync Initiator Initiator IConnect provider ClientSOContainer Client SOContainer Thread	Bug ECF Generic provider thread interlock
134483	ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Container Client Application Null ecf Eclipse Initializer	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug bugs Service assertion refsOne issues getRemoteServiceReferences Remote Service References access Woodward remoteservice	Bug Local access local remoteservicereference implemented
172958	command Channel commands Container IRC Patch setup containers work acceptable	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Communications Apply Bug Restore affect	Bug Communications preference isn empty
196007	pictures highlights Presence display supports parse Hover support hover cool	Bug Presence Hover highlights support pictures
198043	groups contacts open dialog entries list users doesn Bug recognizer	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View settings CTab Folders Manager Room view Chat appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl problem IRC underlined hyperlink move foobar text click	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class Info discovery parameters smaller bug takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc chatroom editor freenode channel Connection appears problems	Bug IRC Wrong connection click hyperlink
204329	Adapter client remoteContainerTwo remote Container adapter IRemote getAdapter Adapter registry Service remote IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL channel topic account hyperlinking accessed IRC output	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update presence UNAVAILABLE client Update null MSNContainer Presence Status	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message packet null message server Server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packetExtensions packet Extensions form	Bug message XMPP Server displayed
222824	port Google XMPP talk user provider gmail default catch host	Bug XMPP doesn work port Google Talk Host
222868	MSN password connection mail entered button wizard Steps Finish Bug	Bug MSN mail password entered Finish button clicked
233808	Test Discovery IService Listener discovery Service IDIService provider SLP testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bug bit report seconds Eclipse usage hour sun	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel NPE targetID target Container irc provider Exception IRC timeouts	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI core dev mailing org eclipse environment CDC	Bug api add IResourceID IResource
254833	Bundle BundleContext Bundle Context service jslp eclipse slp system consumer eagerly Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service hostname JMDNSDiscovery Service IServiceInfo IService Info getServiceName Service Container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IServiceID IService discovery service Service IService fall eclipse fine Discovery	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
