90428	hotmail Jabber jabberserver user login action disables group button ECF	Bug Jabber Provider Character allowed Jabber login names
125572	Sync Thread TimeSyncInitiator Time Sync Initiator SOContainer Time Initiator ECF ClientSOContainer Client SOContainer Client IConnectContext IConnect Context	Bug ECF Generic provider thread interlock
134483	ECFPlugin Application ContainerFactory Container Factory Container Client ClientApplication Client Application ecf Initializer provider Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bug assertion getRemoteServiceReferences Remote Service References remoteservice refsOne bugs access issues Paul	Bug Local access local remoteservicereference implemented
172958	commands command setup Container Channel IRC Patch work containers Bug	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons isn preference Communications Bug Apply Restore empty	Bug Communications preference isn empty
196007	Presence highlights pictures Hover support parse hover display supports XMPP	Bug Presence Hover highlights support pictures
198043	contacts groups entries list dialog users doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	settings CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Folders Room Manager appearance CTab Chat view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc IRC text hyperlink underlined move problem click fine	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors class Info discovery smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC irc editor eclipse Connection net channel freenode chatroom	Bug IRC Wrong connection click hyperlink
204329	Service remoteContainerTwo remote Container Adapter client getAdapter Adapter IRemote remote IRemoteServiceContainerAdapter IRemote Service Container Adapter adapter connect	Bug remoteservice registry updated adapter accessed connect
205532	chat URL subject channel account topic hyperlinking IRC accessed box	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update client Update UNAVAILABLE null msn presence send Personal Pointer	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet message null Message Server XMPPContainer server XMPPContainerPresenceHelper XMPPContainer Presence Helper XMPP form	Bug message XMPP Server displayed
222824	port XMPP Google user talk provider default Talk gmail work	Bug XMPP doesn work port Google Talk Host
222868	password connection MSN mail entered button wizard Finish Bug Steps	Bug MSN mail password entered Finish button clicked
233808	Discovery Test discovery Service provider testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Listener IDIService IService SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit bug report usage Eclipse seconds sun connect	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel IRC Container targetID target NPE timeouts Timeout plugin Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI mailing dev identity eclipse interface mhonarc	Bug api add IResourceID IResource
254833	Bundle jslp BundleContext Bundle Context eclipse system service slp consumer SLP resources	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service Service getServiceName Service IServiceInfo IService Info hostname JMDNSDiscovery checks	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service Service IServiceID IService discovery getServiceName Service IService fall Discovery SLP fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery Info jmdns Container IServiceInfo IService Info provider weight	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService SecurityException Security Exception Security IServiceInfo IService Info IService eclipse jslp Info provider	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update NPEs SDK Eclipse EMF log code Install Graphical	NPE status code
259233	path discovery URI Discovery lost JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func SLP detail aid case tracker sourceforge scope atid Discovery	Bug Discovery SLP lookup scope case insensitive
265551	Pause tests URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource Resume Http transfer Test URLRetrieve PAUSE	Bug pause reads entire resource HttpClient provider Http Client
