9122	-1
9649	-1
10096	1951
10811	166
10817	-1
12640	18
12665	233
13015	891
13364	85
13957	-1
18306	818
21776	12
21823	1054
22815	99
23328	230
24839	837
27989	749
28195	6454
29036	25
29297	41
29683	422
30837	131
31110	2334
33893	428
34670	72
37918	-1
37942	196
40707	323
42984	1874
43418	59
49068	40
49077	31
53115	195
53634	222
53929	135
53952	1569
53959	389
64984	-1
72169	5
76675	683
85665	1347
86887	-1
90805	144
94047	728
94452	274
94474	-1
102427	130
105573	997
108473	3645
112670	1199
120651	31
125771	4898
144253	461
161364	3398
165174	3699
171075	2491
183206	11
184862	1233
197011	81
204455	779
206693	-1
208744	4626
212442	117
217994	24
241394	5
255031	-1
275614	13
297808	1327
335363	65
339414	1
343039	267
371300	33
396795	50
400636	1950
401815	2397
421806	146
422016	43
428862	364
432190	1
455199	1165
463252	4044
