59	MDT DateUtils Utils hour MST truncate lang Utils oct buggy result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare Enum ValuedEnum Valued Enum typesafe compare values Object int enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar result set getTimeInMillis Time Millis Time Format MONTH cal	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test xFFFF FFFF unescape Unescape doTestUnescapeEntity Test Unescape Entity reference Entity entity EntitiesTest Entities Test	unescapeXml unescape Xml
295	length StrBuilder Str Builder thisBuf Buf Str Builder LANG size places Buf noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str width pad Width method strLen str Len appendFixedWidthPadRight append Fixed Width Pad Pad StrBuilder Str Builder Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number NumberFormatException Number Format Exception isDigits Digits Format Digits throws Utils string	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception Null LocaleUtils Locale Utils Pointer Exception cAvailableSet Set Set availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch getTime Time Watch suspend time acts counter shouldn bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language case country variant strings code POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes TimeZone Time Zone seconds Time Calendar behaves test getTime Time Mon CDT	Dates behaves incorrectly minutes seconds
363	Escape escape String script Utils javaScriptEscape java Script Escape Java JavaScriptUtils Java Script Utils escapeJavaScript escape Java Script StringEscapeUtils String Escape Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case statement test String Utils false StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance case FastDateFormat Fast Format Format HashMap Hash Map methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce Summary numerator infinite pretty	infinite loop Fraction reduce numerator
393	compare Big compareTo compare comparing don BigDecimal Big Decimal Decimal EqualsBuilder Equals Builder BigDecimals Big Decimals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width null Builder Fixed handle StrBuilder Str Builder nulls pointer getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String length abbreviate str upper Word WordUtils Word Utils StringIndexOutOfBoundsException String Bounds Exception greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive String string Case Bug case locale sensitive intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number String createNumber create Number NumberUtils Number Utils Bounds digit Exception front LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended formatRegistry format Registry String formattedPattern formatted Pattern code appendTo append pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters unicode utf String escapeHtml escape Html escape StringEscapeUtils String Escape Utils Escape Characters incorrectly	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number return decimal NumberUtils Number Utils Digit Point point code	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone Format format GregorianCalendar Gregorian Calendar noformat Zone GMT test	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement StringUtils String Utils replace replaceEach replace Utils Test case replacementList replacement List null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread String org LANG created leak application web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object NPE throws element array ClassUtils Class Utils Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws passed Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format locale week format SimpleDateFormat Simple Format Format Locale Week Simple firstDayOfWeek Day Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator MIN test case method Denominator code apache	org apache commons lang math Fraction reduce Integer MIN
664	Number String NumberUtils Number Utils return isNumber Number code hasExp Exp Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Utils assertFalse assert False Local method Assert HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format FastDateFormat Fast Format Java year pattern JDK Javadoc format formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer case upper createNumber create Number NumberFormatException Number Format Exception Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number numbers Long createLong create Long Integer NumberUtils Number Utils hex handle create createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils ObjectInputStream Object Input Stream primitiveType primitive Type ClassNotFoundException Class Exception primitive class noformat Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Int code chars empty length null size int start	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils throws confusing start lang Argument source IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number NumberUtils Number Utils createNumber create Number behaviour Big BigDecimal Big Decimal work leading create Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space parse white parsed treat SimpleDateFormat Simple Format dates treats Fast	FastDateParser handle white space properly Fast Parser
832	quotes parse format unterminated handle SimpleDateFormat Simple Format Simple FastDateParser Fast Parser correctly handled	FastDateParser handle unterminated quotes correctly Fast Parser
