59	DateUtils Utils MDT hour Calendar truncate Utils method switching lang dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare Enum typesafe compare Valued values Object int enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Calendar DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis result set currentTimeMillis current Time Millis Time Format cal	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test testNumberOverflow test Number Overflow Test test unescape xFFFF FFFF unescapeXml unescape Xml Number doTestUnescapeEntity Test Unescape Entity Unescape	unescapeXml unescape Xml
295	Str StrBuilder Str Builder thisBuf Buf length Builder LANG Buf size places noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str width append appendFixedWidthPadRight append Fixed Width Pad ArrayIndexOutOfBoundsException Array Bounds Exception size method padChar pad Char Char Array	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils string Format digit throws substring numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null cAvailableLocaleSet Locale Set LocaleUtils Locale Utils FindBugs Find Bugs availableLocaleSet Locale Set initialized Pointer constructor	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Time Watch pause suspend getTime Time time acts counter shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country case POSIX variant code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds testCalendar test Calendar Jul test getTimeZone Time Zone TimeZone Time Zone behaves DateUtils Utils	Dates behaves incorrectly minutes seconds
363	String Escape escape Java escapeJavaScript escape Java Script Utils script javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils toBoolean Boolean case statement Exception Utils false test String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance Hash FastDateFormat Fast Format case Format HashMap Hash Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce Summary numerator infinite pretty	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big compareTo compare Decimal comparing don equals EqualsBuilder Equals Builder BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width getNullText Null Text Null null StrBuilder Str Builder Str Builder Fixed handle nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str String length Word WordUtils Word Utils upper substring abbreviate greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive String string Case Bug case http locale html	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number String NumberUtils Number Utils Bounds digit Exception front LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	ExtendedMessageFormat Extended Message Format Format format Message Extended formatRegistry format Registry java code String appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode characters StringEscapeUtils String Escape Utils utf escape Escape COUNTING incorrectly	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number decimal return NumberUtils Number Utils Decimal hasExp Exp Point Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Format format test dateTime Time Zone GMT GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement replacementList replacement List Utils StringUtils String Utils Test replace searchList search List case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread application Hash String ThreadLocals Thread Locals created org web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class NPE Utils ClassUtils Class Utils throws element array null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String Exception throws passed Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week Format locale Week SimpleDateFormat Simple Format Locale format output Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test getDenominator Denominator MIN FractionTest Fraction Test code case method Denominator	org apache commons lang math Fraction reduce Integer MIN
