59	MDT DateUtils Utils oct DAY Utils hour truncate buggy Calendar MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe ValuedEnum Valued Enum Enum values Valued Object compareTo compare int commons classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils result set Duration Time String Format Utils formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test Entity Unescape void unescape doTestUnescapeEntity Test Unescape Entity reference EntitiesTest Entities Test Exception	unescapeXml unescape Xml
295	Str StrBuilder Str Builder Builder length thisBuf Buf LANG noticed Buf reference fixing	StrBuilder usages thisBuf length size Str Builder Buf
299	method str width size int pad Pad Width Char strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception Format NumberUtils Number Utils string isDigits Digits Exception numeric throws	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception Exception cAvailableSet Set cAvailableLocaleSet Locale Set LocaleUtils Locale Utils lang commons Pointer	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time StopWatch Watch suspend counter Watch time acts pause sleep shouldn	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country case POSIX Utils code strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds Time test testCalendar test Calendar Mon rounding behaves TimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	Escape String Java Utils Script script escape org escapeJavaScript escape Java Script str	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case BooleanUtils Boolean Utils toBoolean Boolean String Exception false Utils test statement	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance getDateInstance Instance locale Instance FastDateFormat Fast Format Format Hash key Time case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Fraction reduce pretty Summary infinite numerator	infinite loop Fraction reduce numerator
393	Big compare equals compareTo compare BigDecimal Big Decimal comparing EqualsBuilder Equals Builder Decimal don Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	null appendFixedWidth append Fixed Width Null exception Builder Fixed Str getNullText Null Text pointer handle	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string abbreviate String upper Word Exception Utils greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs case Case Bug insensitive html handling String Common sensitive	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Bounds Exception Number createNumber create Number NumberUtils Number Utils throws place Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended format ExtendedMessageFormat Extended Message Format String code Message formatRegistry format Registry formattedPattern formatted Pattern Memory	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters unicode escapeHtml escape Html StringEscapeUtils String Escape Utils escape println Escape data incorrectly	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number return decimal Exp NumberUtils Number Utils Decimal chars Digit	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone test Zone dateTime Time GMT cal	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils Utils replacement Test null replace case replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String org ToStringStyle String Style thread leak application Style reference web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class element NPE Utils array throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number Exception NumberUtils Number Utils String createNumber create Number throws StringIndexOutOfBoundsException String Bounds Exception NumberFormatException Number Format Exception Format Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week locale FastDateFormat Fast Format format Fast Simple Week SimpleDateFormat Simple Format year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN method case code void test Equals int	org apache commons lang math Fraction reduce Integer MIN
664	Number String isNumber Number code return Digit NumberUtils Number Utils Exp chars foundDigit Digit	NumberUtils isNumber String String Number Utils Number
677	Time Utils isSameLocalTime Local Time Calendar DateUtils Utils method Local HOUR work False	DateUtils isSameLocalTime work correct Utils Local Time
719	year Java SimpleDateFormat Simple Format Format pattern FastDateFormat Fast Format Simple format number bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case Integer NumberUtils Number Utils NumberFormatException Number Format Exception createNumber create Number Format upper Utils decode	NumberUtils handle upper case hex Number Utils
747	Number numbers Integer Long hex create NumberUtils Number Utils handle createNumber create Number createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization class ClassNotFoundException Class Exception Exception SerializationUtils Serialization Utils primitive Object Input Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code Int chars ends pass int nextInt Int char exception	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws Illegal Argument lang RandomUtils Random Utils Exception String Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour BigDecimal Big Decimal Big create NumberUtils Number Utils Decimal Exception returns	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	space FastDateParser Fast Parser white Format Fast Parser parse parsed treats treat	FastDateParser handle white space properly Fast Parser
832	format parse Simple unterminated quotes Format handled SimpleDateFormat Simple Format FastDateParser Fast Parser correctly	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence work code char hash translate Code Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
